Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,0,0,0,0,0,0
04-Apr-20,0,0,0,0,0,0
05-Apr-20,0,0,0,0,0,0
06-Apr-20,0,0,0,0,0,0
07-Apr-20,0,0,0,0,0,0
08-Apr-20,0,0,0,0,0,0
09-Apr-20,3,3,0,0,0,0
10-Apr-20,0,3,0,0,0,0
11-Apr-20,0,3,0,0,0,0
12-Apr-20,0,3,0,0,0,0
13-Apr-20,1,4,0,0,0,0
14-Apr-20,3,7,0,0,0,0
15-Apr-20,8,15,0,0,0,0
16-Apr-20,2,17,0,0,0,0
17-Apr-20,1,18,0,0,0,0
18-Apr-20,0,18,0,0,0,0
19-Apr-20,0,18,0,0,0,0
20-Apr-20,0,18,0,0,0,0
21-Apr-20,2,20,6,6,0,0
22-Apr-20,0,20,0,6,0,0
23-Apr-20,1,21,0,6,0,0
24-Apr-20,1,22,0,6,0,0
25-Apr-20,0,22,0,6,4,4
26-Apr-20,1,23,0,6,0,4
27-Apr-20,0,23,0,6,1,5
28-Apr-20,0,23,1,7,1,6
29-Apr-20,1,24,0,7,0,6
30-Apr-20,0,24,0,7,1,7
01-May-20,2,26,0,7,0,7
02-May-20,0,26,0,7,2,9
03-May-20,0,26,0,7,2,11
04-May-20,0,26,0,7,0,11
05-May-20,0,26,0,7,0,11
06-May-20,4,30,0,7,0,11
07-May-20,0,30,0,7,1,12
08-May-20,2,32,0,7,0,12
09-May-20,4,36,0,7,0,12
10-May-20,7,43,0,7,2,14
11-May-20,5,48,0,7,0,14
12-May-20,5,53,0,7,1,15
13-May-20,3,56,0,7,0,15
14-May-20,2,58,0,7,0,15
15-May-20,0,58,0,7,3,18
