Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,0,0,0,0,0,0
04-Apr-20,0,0,0,0,0,0
05-Apr-20,0,0,0,0,0,0
06-Apr-20,0,0,0,0,0,0
07-Apr-20,0,0,0,0,0,0
08-Apr-20,0,0,0,0,0,0
09-Apr-20,1,1,0,0,0,0
10-Apr-20,0,1,0,0,0,0
11-Apr-20,0,1,0,0,0,0
12-Apr-20,0,1,0,0,0,0
13-Apr-20,1,2,0,0,0,0
14-Apr-20,1,3,0,0,0,0
15-Apr-20,0,3,0,0,0,0
16-Apr-20,3,6,0,0,0,0
17-Apr-20,4,10,0,0,0,0
18-Apr-20,0,10,0,0,0,0
19-Apr-20,0,10,0,0,0,0
20-Apr-20,0,10,0,0,0,0
21-Apr-20,26,36,1,1,0,0
22-Apr-20,0,36,0,1,0,0
23-Apr-20,0,36,0,1,0,0
24-Apr-20,0,36,0,1,0,0
25-Apr-20,0,36,0,1,0,0
26-Apr-20,0,36,0,1,0,0
27-Apr-20,0,36,0,1,0,0
28-Apr-20,4,40,0,1,0,0
29-Apr-20,8,48,0,1,0,0
30-Apr-20,0,48,0,1,1,1
01-May-20,1,49,0,1,0,1
02-May-20,2,51,0,1,9,10
03-May-20,4,55,0,1,1,11
04-May-20,0,55,0,1,0,11
05-May-20,20,75,0,1,1,12
06-May-20,1,76,0,1,14,26
07-May-20,1,77,0,1,0,26
08-May-20,1,78,0,1,0,26
09-May-20,1,79,0,1,0,26
10-May-20,0,79,1,2,1,27
11-May-20,0,79,0,2,12,39
12-May-20,7,86,0,2,2,41
13-May-20,3,89,0,2,0,41
14-May-20,0,89,0,2,28,69
15-May-20,7,96,0,2,0,69
