Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,4.0,4,0.0,0,0.0,0
26-Mar-20,5.0,9,0.0,0,0.0,0
27-Mar-20,5.0,14,1.0,1,0.0,0
28-Mar-20,6.0,20,0.0,1,0.0,0
29-Mar-20,0.0,20,0.0,1,0.0,0
30-Mar-20,7.0,27,0.0,1,0.0,0
31-Mar-20,18.0,45,0.0,1,0.0,0
01-Apr-20,32.0,77,0.0,1,0.0,0
02-Apr-20,2.0,79,0.0,1,0.0,0
03-Apr-20,35.0,114,0.0,1,0.0,0
04-Apr-20,14.0,128,0.0,1,0.0,0
05-Apr-20,7.0,135,0.0,1,0.0,0
06-Apr-20,16.0,151,0.0,1,0.0,0
07-Apr-20,0.0,151,0.0,1,0.0,0
08-Apr-20,22.0,173,0.0,1,0.0,0
09-Apr-20,48.0,221,0.0,1,0.0,0
10-Apr-20,14.0,235,0.0,1,0.0,0
11-Apr-20,46.0,281,0.0,1,0.0,0
12-Apr-20,30.0,311,0.0,1,0.0,0
13-Apr-20,17.0,328,0.0,1,0.0,0
14-Apr-20,83.0,411,0.0,1,0.0,0
15-Apr-20,133.0,544,0.0,1,0.0,0
16-Apr-20,163.0,707,0.0,1,0.0,0
17-Apr-20,134.0,841,0.0,1,0.0,0
18-Apr-20,0.0,841,0.0,1,0.0,0
19-Apr-20,0.0,841,0.0,1,0.0,0
20-Apr-20,0.0,841,0.0,1,0.0,0
21-Apr-20,74.0,915,51.0,52,71.0,71
22-Apr-20,8.0,923,0.0,52,3.0,74
23-Apr-20,22.0,945,1.0,53,8.0,82
24-Apr-20,84.0,1029,2.0,55,0.0,82
25-Apr-20,56.0,1085,2.0,57,25.0,107
26-Apr-20,91.0,1176,0.0,57,0.0,107
27-Apr-20,31.0,1207,3.0,60,16.0,123
28-Apr-20,165.0,1372,3.0,63,11.0,134
29-Apr-20,104.0,1476,2.0,65,43.0,177
30-Apr-20,10.0,1486,3.0,68,0.0,177
01-May-20,29.0,1515,4.0,72,0.0,177
02-May-20,30.0,1545,2.0,74,52.0,229
03-May-20,23.0,1568,2.0,76,121.0,350
04-May-20,43.0,1611,0.0,76,0.0,350
05-May-20,43.0,1654,3.0,79,118.0,468
06-May-20,27.0,1681,2.0,81,23.0,491
07-May-20,18.0,1699,2.0,83,104.0,595
08-May-20,28.0,1727,3.0,86,68.0,663
09-May-20,53.0,1780,1.0,87,69.0,732
10-May-20,78.0,1858,2.0,89,159.0,891
11-May-20,77.0,1935,1.0,90,7.0,898
12-May-20,81.0,2016,2.0,92,28.0,926
13-May-20,91.0,2107,3.0,95,48.0,974
14-May-20,131.0,2238,1.0,96,72.0,1046
15-May-20,61.0,2299,2.0,98,52.0,1098
