Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,0.0,0,0.0,0,0.0,0
06-Apr-20,0.0,0,0.0,0,0.0,0
07-Apr-20,0.0,0,0.0,0,0.0,0
08-Apr-20,0.0,0,0.0,0,0.0,0
09-Apr-20,1.0,1,0.0,0,0.0,0
10-Apr-20,0.0,1,0.0,0,0.0,0
11-Apr-20,0.0,1,0.0,0,0.0,0
12-Apr-20,0.0,1,0.0,0,0.0,0
13-Apr-20,3.0,4,0.0,0,0.0,0
14-Apr-20,0.0,4,0.0,0,0.0,0
15-Apr-20,0.0,4,0.0,0,0.0,0
16-Apr-20,4.0,8,0.0,0,0.0,0
17-Apr-20,0.0,8,0.0,0,0.0,0
18-Apr-20,0.0,8,0.0,0,0.0,0
19-Apr-20,0.0,8,0.0,0,0.0,0
20-Apr-20,0.0,8,0.0,0,0.0,0
21-Apr-20,16.0,24,0.0,0,1.0,1
22-Apr-20,2.0,26,0.0,0,0.0,1
23-Apr-20,0.0,26,0.0,0,0.0,1
24-Apr-20,0.0,26,0.0,0,0.0,1
25-Apr-20,0.0,26,0.0,0,0.0,1
26-Apr-20,2.0,28,0.0,0,0.0,1
27-Apr-20,5.0,33,0.0,0,0.0,1
28-Apr-20,12.0,45,1.0,1,0.0,1
29-Apr-20,2.0,47,1.0,2,0.0,1
30-Apr-20,8.0,55,0.0,2,0.0,1
01-May-20,2.0,57,0.0,2,0.0,1
02-May-20,0.0,57,0.0,2,0.0,1
03-May-20,0.0,57,0.0,2,2.0,3
04-May-20,2.0,59,0.0,2,0.0,3
05-May-20,4.0,63,1.0,3,5.0,8
06-May-20,0.0,63,0.0,3,12.0,20
07-May-20,1.0,64,0.0,3,2.0,22
08-May-20,0.0,64,0.0,3,2.0,24
09-May-20,0.0,64,0.0,3,0.0,24
10-May-20,0.0,64,0.0,3,0.0,24
11-May-20,0.0,64,0.0,3,4.0,28
12-May-20,1.0,65,0.0,3,6.0,34
13-May-20,0.0,65,0.0,3,8.0,42
14-May-20,0.0,65,0.0,3,8.0,50
15-May-20,0.0,65,0.0,3,6.0,56
