Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,1.0,1,1.0,1,0.0,0
26-Mar-20,0.0,1,0.0,1,0.0,0
27-Mar-20,1.0,2,0.0,1,0.0,0
28-Mar-20,2.0,4,0.0,1,0.0,0
29-Mar-20,0.0,4,0.0,1,0.0,0
30-Mar-20,1.0,5,0.0,1,0.0,0
31-Mar-20,1.0,6,0.0,1,0.0,0
01-Apr-20,0.0,6,0.0,1,0.0,0
02-Apr-20,1.0,7,0.0,1,0.0,0
03-Apr-20,0.0,7,0.0,1,0.0,0
04-Apr-20,0.0,7,0.0,1,0.0,0
05-Apr-20,0.0,7,0.0,1,0.0,0
06-Apr-20,1.0,8,0.0,1,0.0,0
07-Apr-20,5.0,13,0.0,1,0.0,0
08-Apr-20,2.0,15,0.0,1,0.0,0
09-Apr-20,0.0,15,0.0,1,0.0,0
10-Apr-20,0.0,15,0.0,1,0.0,0
11-Apr-20,0.0,15,0.0,1,0.0,0
12-Apr-20,0.0,15,0.0,1,0.0,0
13-Apr-20,9.0,24,0.0,1,0.0,0
14-Apr-20,2.0,26,0.0,1,0.0,0
15-Apr-20,4.0,30,0.0,1,0.0,0
16-Apr-20,0.0,30,0.0,1,0.0,0
17-Apr-20,1.0,31,0.0,1,0.0,0
18-Apr-20,0.0,31,0.0,1,0.0,0
19-Apr-20,0.0,31,0.0,1,0.0,0
20-Apr-20,0.0,31,0.0,1,0.0,0
21-Apr-20,2.0,33,6.0,7,5.0,5
22-Apr-20,8.0,41,0.0,7,0.0,5
23-Apr-20,35.0,76,0.0,7,0.0,5
24-Apr-20,26.0,102,4.0,11,0.0,5
25-Apr-20,1.0,103,4.0,15,0.0,5
26-Apr-20,3.0,106,2.0,17,0.0,5
27-Apr-20,13.0,119,0.0,17,0.0,5
28-Apr-20,4.0,123,3.0,20,0.0,5
29-Apr-20,4.0,127,3.0,23,0.0,5
30-Apr-20,11.0,138,1.0,24,0.0,5
01-May-20,9.0,147,1.0,25,0.0,5
02-May-20,0.0,147,2.0,27,0.0,5
03-May-20,9.0,156,3.0,30,13.0,18
04-May-20,10.0,166,0.0,30,0.0,18
05-May-20,18.0,184,10.0,40,8.0,26
06-May-20,0.0,184,0.0,40,0.0,26
07-May-20,17.0,201,2.0,42,24.0,50
08-May-20,19.0,220,1.0,43,7.0,57
09-May-20,7.0,227,2.0,45,33.0,90
10-May-20,10.0,237,0.0,45,4.0,94
11-May-20,0.0,237,0.0,45,2.0,96
12-May-20,27.0,264,0.0,45,10.0,106
13-May-20,5.0,269,0.0,45,24.0,130
14-May-20,5.0,274,0.0,45,12.0,142
15-May-20,10.0,284,0.0,45,4.0,146
