Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,9,26,0,1,0,0
15-Mar-20,6,32,0,1,0,0
16-Mar-20,7,39,0,1,0,0
17-Mar-20,2,41,0,1,0,0
18-Mar-20,4,45,0,1,0,0
19-Mar-20,3,48,0,1,0,0
20-Mar-20,4,52,0,1,0,0
21-Mar-20,12,64,0,1,0,0
22-Mar-20,10,74,1,2,0,0
23-Mar-20,15,89,0,2,0,0
24-Mar-20,18,107,0,2,0,0
25-Mar-20,15,122,0,2,2,2
26-Mar-20,3,125,0,2,0,2
27-Mar-20,28,153,0,2,0,2
28-Mar-20,28,181,0,2,0,2
29-Mar-20,22,203,0,2,0,2
30-Mar-20,17,220,0,2,0,2
31-Mar-20,82,302,0,2,0,2
01-Apr-20,33,335,0,2,0,2
02-Apr-20,88,423,0,2,0,2
03-Apr-20,64,487,0,2,0,2
04-Apr-20,148,635,0,2,0,2
05-Apr-20,112,747,0,2,0,2
06-Apr-20,121,868,0,2,0,2
07-Apr-20,150,1018,0,2,0,2
08-Apr-20,117,1135,5,7,0,2
09-Apr-20,229,1364,2,9,1,3
10-Apr-20,210,1574,0,9,0,3
11-Apr-20,187,1761,1,10,0,3
12-Apr-20,221,1982,0,10,0,3
13-Apr-20,352,2334,0,10,0,3
14-Apr-20,346,2680,0,10,0,3
15-Apr-20,236,2916,0,10,0,3
16-Apr-20,285,3201,0,10,0,3
17-Apr-20,120,3321,1,11,0,3
18-Apr-20,327,3648,0,11,0,3
