Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,1.0,1,0.0,0,0.0,0
16-Mar-20,0.0,1,0.0,0,0.0,0
17-Mar-20,0.0,1,0.0,0,0.0,0
18-Mar-20,0.0,1,0.0,0,0.0,0
19-Mar-20,0.0,1,0.0,0,0.0,0
20-Mar-20,0.0,1,0.0,0,0.0,0
21-Mar-20,0.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,0.0,1,0.0,0,0.0,0
28-Mar-20,0.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,0.0,1,0.0,0,0.0,0
02-Apr-20,2.0,3,0.0,0,0.0,0
03-Apr-20,0.0,3,0.0,0,0.0,0
04-Apr-20,0.0,3,0.0,0,0.0,0
05-Apr-20,4.0,7,0.0,0,0.0,0
06-Apr-20,3.0,10,0.0,0,0.0,0
07-Apr-20,3.0,13,0.0,0,0.0,0
08-Apr-20,0.0,13,0.0,0,0.0,0
09-Apr-20,4.0,17,0.0,0,0.0,0
10-Apr-20,0.0,17,0.0,0,0.0,0
11-Apr-20,2.0,19,0.0,0,0.0,0
12-Apr-20,0.0,19,0.0,0,0.0,0
13-Apr-20,4.0,23,0.0,0,0.0,0
14-Apr-20,0.0,23,0.0,0,0.0,0
15-Apr-20,0.0,23,0.0,0,0.0,0
16-Apr-20,5.0,28,0.0,0,0.0,0
17-Apr-20,0.0,28,0.0,0,0.0,0
18-Apr-20,0.0,28,0.0,0,0.0,0
19-Apr-20,0.0,28,0.0,0,0.0,0
20-Apr-20,0.0,28,0.0,0,0.0,0
21-Apr-20,0.0,28,0.0,0,0.0,0
22-Apr-20,7.0,35,3.0,3,0.0,0
23-Apr-20,3.0,38,2.0,5,15.0,15
24-Apr-20,2.0,40,0.0,5,0.0,15
25-Apr-20,10.0,50,0.0,5,7.0,22
26-Apr-20,0.0,50,0.0,5,0.0,22
27-Apr-20,0.0,50,1.0,6,0.0,22
28-Apr-20,40.0,90,0.0,6,0.0,22
29-Apr-20,15.0,105,1.0,7,0.0,22
30-Apr-20,26.0,131,0.0,7,0.0,22
01-May-20,0.0,131,1.0,8,0.0,22
02-May-20,89.0,220,1.0,9,0.0,22
03-May-20,24.0,244,0.0,9,0.0,22
04-May-20,0.0,244,0.0,9,0.0,22
05-May-20,96.0,340,2.0,11,0.0,22
06-May-20,33.0,373,0.0,11,0.0,22
07-May-20,27.0,400,1.0,12,2.0,24
08-May-20,23.0,423,0.0,12,7.0,31
09-May-20,19.0,442,0.0,12,0.0,31
10-May-20,126.0,568,1.0,13,0.0,31
11-May-20,16.0,584,1.0,14,64.0,95
12-May-20,69.0,653,1.0,15,0.0,95
13-May-20,27.0,680,0.0,15,0.0,95
14-May-20,36.0,716,4.0,19,45.0,140
15-May-20,62.0,778,1.0,20,14.0,154
