Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,1,1,0,0,0,0
30-Mar-20,0,1,0,0,0,0
31-Mar-20,2,3,0,0,0,0
01-Apr-20,1,4,0,0,0,0
02-Apr-20,1,5,0,0,0,0
03-Apr-20,0,5,0,0,0,0
04-Apr-20,0,5,0,0,0,0
05-Apr-20,0,5,0,0,0,0
06-Apr-20,0,5,0,0,0,0
07-Apr-20,2,7,0,0,0,0
08-Apr-20,1,8,0,0,0,0
09-Apr-20,3,11,0,0,0,0
10-Apr-20,2,13,0,0,0,0
11-Apr-20,0,13,0,0,0,0
12-Apr-20,0,13,0,0,0,0
13-Apr-20,4,17,0,0,0,0
14-Apr-20,0,17,0,0,0,0
15-Apr-20,4,21,0,0,0,0
16-Apr-20,0,21,0,0,0,0
17-Apr-20,0,21,0,0,0,0
18-Apr-20,0,21,0,0,0,0
19-Apr-20,0,21,0,0,0,0
20-Apr-20,0,21,0,0,0,0
21-Apr-20,0,21,0,0,0,0
22-Apr-20,0,21,1,1,0,0
23-Apr-20,0,21,0,1,8,8
24-Apr-20,0,21,0,1,0,8
25-Apr-20,0,21,0,1,3,11
26-Apr-20,0,21,0,1,3,14
27-Apr-20,0,21,0,1,0,14
28-Apr-20,0,21,0,1,1,15
29-Apr-20,0,21,0,1,2,17
30-Apr-20,0,21,0,1,0,17
01-May-20,0,21,0,1,0,17
02-May-20,0,21,0,1,2,19
03-May-20,0,21,0,1,0,19
04-May-20,0,21,0,1,0,19
05-May-20,3,24,0,1,1,20
06-May-20,0,24,0,1,0,20
07-May-20,0,24,0,1,0,20
08-May-20,0,24,0,1,0,20
09-May-20,0,24,0,1,1,21
10-May-20,0,24,0,1,0,21
11-May-20,1,25,0,1,2,23
12-May-20,0,25,0,1,0,23
13-May-20,0,25,0,1,0,23
14-May-20,1,26,0,1,0,23
15-May-20,0,26,0,1,0,23
