Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,5,0.0,1,0.0,0
15-Mar-20,0.0,5,0.0,1,0.0,0
16-Mar-20,1.0,6,0.0,1,0.0,0
17-Mar-20,1.0,7,0.0,1,0.0,0
18-Mar-20,1.0,8,0.0,1,0.0,0
19-Mar-20,1.0,9,0.0,1,0.0,0
20-Mar-20,2.0,11,0.0,1,0.0,0
21-Mar-20,8.0,19,0.0,1,0.0,0
22-Mar-20,5.0,24,1.0,2,0.0,0
23-Mar-20,11.0,35,0.0,2,0.0,0
24-Mar-20,6.0,41,0.0,2,0.0,0
25-Mar-20,7.0,48,0.0,2,0.0,0
26-Mar-20,1.0,49,0.0,2,0.0,0
27-Mar-20,2.0,51,0.0,2,0.0,0
28-Mar-20,22.0,73,0.0,2,0.0,0
29-Mar-20,5.0,78,0.0,2,0.0,0
30-Mar-20,7.0,85,0.0,2,0.0,0
31-Mar-20,59.0,144,0.0,2,0.0,0
01-Apr-20,30.0,174,0.0,2,0.0,0
02-Apr-20,54.0,228,0.0,2,0.0,0
03-Apr-20,43.0,271,0.0,2,0.0,0
04-Apr-20,99.0,370,0.0,2,0.0,0
05-Apr-20,81.0,451,0.0,2,0.0,0
06-Apr-20,67.0,518,0.0,2,0.0,0
07-Apr-20,124.0,642,0.0,2,0.0,0
08-Apr-20,72.0,714,0.0,2,0.0,0
09-Apr-20,162.0,876,0.0,2,0.0,0
10-Apr-20,132.0,1008,0.0,2,0.0,0
11-Apr-20,138.0,1146,0.0,2,0.0,0
12-Apr-20,152.0,1298,0.0,2,0.0,0
13-Apr-20,242.0,1540,0.0,2,0.0,0
14-Apr-20,216.0,1756,0.0,2,0.0,0
15-Apr-20,140.0,1896,0.0,2,0.0,0
16-Apr-20,177.0,2073,0.0,2,0.0,0
17-Apr-20,12.0,2085,0.0,2,0.0,0
18-Apr-20,183.0,2268,0.0,2,0.0,0
19-Apr-20,0.0,2268,0.0,2,0.0,0
20-Apr-20,0.0,2268,0.0,2,0.0,0
21-Apr-20,187.0,2455,-2.0,0,0.0,0
22-Apr-20,996.0,3451,151.0,151,0.0,0
23-Apr-20,232.0,3683,10.0,161,483.0,483
24-Apr-20,522.0,4205,6.0,167,0.0,483
25-Apr-20,844.0,5049,24.0,191,-13.0,470
26-Apr-20,358.0,5407,13.0,204,81.0,551
27-Apr-20,0.0,5407,15.0,219,90.0,641
28-Apr-20,762.0,6169,0.0,219,70.0,711
29-Apr-20,475.0,6644,51.0,270,225.0,936
30-Apr-20,417.0,7061,20.0,290,156.0,1092
01-May-20,0.0,7061,6.0,296,0.0,1092
02-May-20,1298.0,8359,26.0,322,42.0,1134
03-May-20,441.0,8800,21.0,343,96.0,1230
04-May-20,0.0,8800,0.0,343,0.0,1230
05-May-20,1145.0,9945,44.0,387,165.0,1395
06-May-20,769.0,10714,25.0,412,210.0,1605
07-May-20,680.0,11394,24.0,436,89.0,1694
08-May-20,748.0,12142,26.0,462,99.0,1793
09-May-20,722.0,12864,27.0,489,74.0,1867
10-May-20,875.0,13739,19.0,508,0.0,1867
11-May-20,782.0,14521,20.0,528,499.0,2366
12-May-20,426.0,14947,28.0,556,147.0,2513
13-May-20,800.0,15747,0.0,556,0.0,2513
14-May-20,991.0,16738,65.0,621,226.0,2739
15-May-20,933.0,17671,34.0,655,205.0,2944
