Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,4,0.0,0,0.0,0
15-Mar-20,0.0,4,0.0,0,0.0,0
16-Mar-20,0.0,4,0.0,0,0.0,0
17-Mar-20,0.0,4,0.0,0,0.0,0
18-Mar-20,0.0,4,0.0,0,0.0,0
19-Mar-20,0.0,4,0.0,0,0.0,0
20-Mar-20,0.0,4,0.0,0,0.0,0
21-Mar-20,0.0,4,0.0,0,0.0,0
22-Mar-20,0.0,4,0.0,0,0.0,0
23-Mar-20,0.0,4,0.0,0,0.0,0
24-Mar-20,0.0,4,0.0,0,0.0,0
25-Mar-20,0.0,4,0.0,0,0.0,0
26-Mar-20,1.0,5,0.0,0,0.0,0
27-Mar-20,4.0,9,0.0,0,0.0,0
28-Mar-20,2.0,11,0.0,0,0.0,0
29-Mar-20,3.0,14,0.0,0,0.0,0
30-Mar-20,2.0,16,0.0,0,0.0,0
31-Mar-20,0.0,16,0.0,0,0.0,0
01-Apr-20,0.0,16,0.0,0,0.0,0
02-Apr-20,0.0,16,0.0,0,0.0,0
03-Apr-20,0.0,16,0.0,0,0.0,0
04-Apr-20,1.0,17,0.0,0,0.0,0
05-Apr-20,0.0,17,0.0,0,0.0,0
06-Apr-20,0.0,17,0.0,0,0.0,0
07-Apr-20,2.0,19,0.0,0,0.0,0
08-Apr-20,0.0,19,0.0,0,0.0,0
09-Apr-20,0.0,19,0.0,0,0.0,0
10-Apr-20,6.0,25,0.0,0,0.0,0
11-Apr-20,0.0,25,0.0,0,0.0,0
12-Apr-20,3.0,28,0.0,0,0.0,0
13-Apr-20,11.0,39,0.0,0,0.0,0
14-Apr-20,5.0,44,0.0,0,0.0,0
15-Apr-20,11.0,55,0.0,0,0.0,0
16-Apr-20,1.0,56,0.0,0,0.0,0
17-Apr-20,1.0,57,0.0,0,0.0,0
18-Apr-20,3.0,60,0.0,0,0.0,0
19-Apr-20,0.0,60,0.0,0,0.0,0
20-Apr-20,0.0,60,0.0,0,0.0,0
21-Apr-20,0.0,60,0.0,0,0.0,0
22-Apr-20,19.0,79,1.0,1,0.0,0
23-Apr-20,21.0,100,0.0,1,12.0,12
24-Apr-20,0.0,100,0.0,1,0.0,12
25-Apr-20,7.0,107,0.0,1,3.0,15
26-Apr-20,0.0,107,0.0,1,5.0,20
27-Apr-20,0.0,107,0.0,1,0.0,20
28-Apr-20,27.0,134,0.0,1,0.0,20
29-Apr-20,4.0,138,0.0,1,15.0,35
30-Apr-20,1.0,139,1.0,2,2.0,37
01-May-20,0.0,139,0.0,2,0.0,37
02-May-20,7.0,146,0.0,2,0.0,37
03-May-20,6.0,152,0.0,2,3.0,40
04-May-20,0.0,152,0.0,2,0.0,40
05-May-20,29.0,181,0.0,2,10.0,50
06-May-20,1.0,182,0.0,2,6.0,56
07-May-20,24.0,206,0.0,2,7.0,63
08-May-20,6.0,212,0.0,2,0.0,63
09-May-20,12.0,224,0.0,2,0.0,63
10-May-20,27.0,251,0.0,2,0.0,63
11-May-20,8.0,259,0.0,2,8.0,71
12-May-20,9.0,268,0.0,2,4.0,75
13-May-20,49.0,317,0.0,2,0.0,75
14-May-20,14.0,331,0.0,2,11.0,86
15-May-20,3.0,334,0.0,2,7.0,93
