Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,1,1,0,0,0,0
31-Mar-20,0,1,0,0,0,0
01-Apr-20,0,1,0,0,0,0
02-Apr-20,0,1,0,0,0,0
03-Apr-20,0,1,0,0,0,0
04-Apr-20,0,1,0,0,0,0
05-Apr-20,0,1,0,0,0,0
06-Apr-20,1,2,0,0,0,0
07-Apr-20,0,2,0,0,0,0
08-Apr-20,0,2,0,0,0,0
09-Apr-20,5,7,0,0,0,0
10-Apr-20,0,7,0,0,0,0
11-Apr-20,8,15,1,1,0,0
12-Apr-20,4,19,0,1,0,0
13-Apr-20,15,34,0,1,0,0
14-Apr-20,11,45,0,1,0,0
15-Apr-20,0,45,0,1,0,0
16-Apr-20,2,47,0,1,0,0
17-Apr-20,6,53,0,1,0,0
18-Apr-20,0,53,0,1,0,0
19-Apr-20,0,53,0,1,0,0
20-Apr-20,0,53,0,1,0,0
21-Apr-20,0,53,0,1,0,0
22-Apr-20,42,95,7,8,0,0
23-Apr-20,10,105,1,9,2,2
24-Apr-20,15,120,0,9,0,2
25-Apr-20,11,131,3,12,0,2
26-Apr-20,0,131,0,12,0,2
27-Apr-20,0,131,0,12,0,2
28-Apr-20,64,195,0,12,3,5
29-Apr-20,0,195,0,12,1,6
30-Apr-20,2,197,0,12,0,6
01-May-20,0,197,0,12,0,6
02-May-20,65,262,0,12,0,6
03-May-20,22,284,0,12,0,6
04-May-20,0,284,0,12,0,6
05-May-20,125,409,0,12,0,6
06-May-20,54,463,0,12,0,6
07-May-20,70,533,0,12,18,24
08-May-20,24,557,0,12,0,24
09-May-20,38,595,8,20,18,42
10-May-20,64,659,14,34,0,42
11-May-20,37,696,0,34,5,47
12-May-20,45,741,0,34,56,103
13-May-20,10,751,0,34,0,103
14-May-20,56,807,0,34,23,126
15-May-20,18,825,0,34,13,139
