Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,1,1,0,0,0,0
24-Mar-20,0,1,0,0,0,0
25-Mar-20,0,1,0,0,0,0
26-Mar-20,0,1,0,0,0,0
27-Mar-20,1,2,0,0,0,0
28-Mar-20,3,5,0,0,0,0
29-Mar-20,0,5,0,0,0,0
30-Mar-20,0,5,0,0,0,0
31-Mar-20,0,5,0,0,0,0
01-Apr-20,0,5,0,0,0,0
02-Apr-20,0,5,0,0,0,0
03-Apr-20,0,5,0,0,0,0
04-Apr-20,0,5,0,0,0,0
05-Apr-20,1,6,0,0,0,0
06-Apr-20,4,10,0,0,0,0
07-Apr-20,3,13,0,0,0,0
08-Apr-20,0,13,0,0,0,0
09-Apr-20,1,14,0,0,0,0
10-Apr-20,1,15,0,0,0,0
11-Apr-20,3,18,0,0,0,0
12-Apr-20,7,25,0,0,0,0
13-Apr-20,5,30,0,0,0,0
14-Apr-20,4,34,0,0,0,0
15-Apr-20,3,37,0,0,0,0
16-Apr-20,4,41,0,0,0,0
17-Apr-20,34,75,0,0,0,0
18-Apr-20,8,83,0,0,0,0
19-Apr-20,0,83,0,0,0,0
20-Apr-20,0,83,0,0,0,0
21-Apr-20,0,83,0,0,0,0
22-Apr-20,46,129,4,4,0,0
23-Apr-20,5,134,0,4,15,15
24-Apr-20,0,134,0,4,0,15
25-Apr-20,5,139,0,4,11,26
26-Apr-20,2,141,0,4,0,26
27-Apr-20,0,141,0,4,9,35
28-Apr-20,23,164,0,4,1,36
29-Apr-20,5,169,0,4,4,40
30-Apr-20,0,169,0,4,6,46
01-May-20,0,169,0,4,0,46
02-May-20,19,188,1,5,9,55
03-May-20,4,192,0,5,9,64
04-May-20,0,192,0,5,0,64
05-May-20,0,192,0,5,23,87
06-May-20,19,211,0,5,5,92
07-May-20,22,233,6,11,8,100
08-May-20,7,240,0,11,4,104
09-May-20,8,248,0,11,3,107
10-May-20,15,263,1,12,0,107
11-May-20,23,286,0,12,11,118
12-May-20,15,301,0,12,0,118
13-May-20,25,326,0,12,0,118
14-May-20,11,337,1,13,0,118
15-May-20,26,363,0,13,0,118
