Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,10,0,0,0,0
15-Mar-20,5,15,0,0,0,0
16-Mar-20,1,16,0,0,0,0
17-Mar-20,1,17,0,0,0,0
18-Mar-20,2,19,0,0,0,0
19-Mar-20,0,19,0,0,0,0
20-Mar-20,2,21,0,0,0,0
21-Mar-20,2,23,0,0,0,0
22-Mar-20,4,27,0,0,0,0
23-Mar-20,1,28,0,0,0,0
24-Mar-20,3,31,0,0,0,0
25-Mar-20,0,31,0,0,2,2
26-Mar-20,0,31,0,0,0,2
27-Mar-20,1,32,0,0,0,2
28-Mar-20,0,32,0,0,0,2
29-Mar-20,5,37,0,0,0,2
30-Mar-20,6,43,0,0,0,2
31-Mar-20,5,48,0,0,0,2
01-Apr-20,2,50,0,0,0,2
02-Apr-20,11,61,0,0,0,2
03-Apr-20,9,70,0,0,0,2
04-Apr-20,12,82,0,0,0,2
05-Apr-20,18,100,0,0,0,2
06-Apr-20,41,141,0,0,0,2
07-Apr-20,10,151,0,0,0,2
08-Apr-20,38,189,5,5,0,2
09-Apr-20,17,206,2,7,1,3
10-Apr-20,42,248,0,7,0,3
11-Apr-20,9,257,0,7,0,3
12-Apr-20,6,263,0,7,0,3
13-Apr-20,45,308,0,7,0,3
14-Apr-20,43,351,0,7,0,3
15-Apr-20,56,407,0,7,0,3
16-Apr-20,66,473,0,7,0,3
17-Apr-20,31,504,1,8,0,3
18-Apr-20,87,591,0,8,0,3
19-Apr-20,0,591,0,8,0,3
20-Apr-20,0,591,0,8,0,3
21-Apr-20,0,591,0,8,0,3
22-Apr-20,125,716,47,55,0,3
23-Apr-20,89,805,2,57,149,152
24-Apr-20,105,910,5,62,0,152
25-Apr-20,120,1030,11,73,33,185
26-Apr-20,22,1052,3,76,21,206
27-Apr-20,0,1052,4,80,4,210
28-Apr-20,122,1174,0,80,11,221
29-Apr-20,18,1192,5,85,23,244
30-Apr-20,56,1248,3,88,4,248
01-May-20,0,1248,11,99,0,248
02-May-20,91,1339,3,102,37,285
03-May-20,57,1396,4,106,54,339
04-May-20,0,1396,0,106,0,339
05-May-20,666,2062,13,119,86,425
06-May-20,25,2087,3,122,103,528
07-May-20,42,2129,7,129,60,588
08-May-20,48,2177,10,139,82,670
09-May-20,48,2225,10,149,60,730
10-May-20,454,2679,6,155,0,730
11-May-20,110,2789,3,158,356,1086
12-May-20,148,2937,6,164,77,1163
13-May-20,224,3161,0,164,0,1163
14-May-20,153,3314,11,175,34,1197
15-May-20,167,3481,6,181,180,1377
