Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,1,0.0,0,0.0,0
15-Mar-20,0.0,1,0.0,0,0.0,0
16-Mar-20,0.0,1,0.0,0,0.0,0
17-Mar-20,0.0,1,0.0,0,0.0,0
18-Mar-20,0.0,1,0.0,0,0.0,0
19-Mar-20,0.0,1,0.0,0,0.0,0
20-Mar-20,0.0,1,0.0,0,0.0,0
21-Mar-20,0.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,1.0,2,0.0,0,0.0,0
26-Mar-20,0.0,2,0.0,0,0.0,0
27-Mar-20,0.0,2,0.0,0,0.0,0
28-Mar-20,0.0,2,0.0,0,0.0,0
29-Mar-20,0.0,2,0.0,0,0.0,0
30-Mar-20,0.0,2,0.0,0,0.0,0
31-Mar-20,0.0,2,0.0,0,0.0,0
01-Apr-20,0.0,2,0.0,0,0.0,0
02-Apr-20,0.0,2,0.0,0,0.0,0
03-Apr-20,0.0,2,0.0,0,0.0,0
04-Apr-20,1.0,3,0.0,0,0.0,0
05-Apr-20,3.0,6,0.0,0,0.0,0
06-Apr-20,0.0,6,0.0,0,0.0,0
07-Apr-20,0.0,6,0.0,0,0.0,0
08-Apr-20,0.0,6,0.0,0,0.0,0
09-Apr-20,0.0,6,0.0,0,0.0,0
10-Apr-20,0.0,6,0.0,0,0.0,0
11-Apr-20,1.0,7,0.0,0,0.0,0
12-Apr-20,5.0,12,0.0,0,0.0,0
13-Apr-20,2.0,14,0.0,0,0.0,0
14-Apr-20,1.0,15,0.0,0,0.0,0
15-Apr-20,0.0,15,0.0,0,0.0,0
16-Apr-20,3.0,18,0.0,0,0.0,0
17-Apr-20,18.0,36,0.0,0,0.0,0
18-Apr-20,6.0,42,0.0,0,0.0,0
19-Apr-20,0.0,42,0.0,0,0.0,0
20-Apr-20,0.0,42,0.0,0,0.0,0
21-Apr-20,0.0,42,0.0,0,0.0,0
22-Apr-20,8.0,50,1.0,1,0.0,0
23-Apr-20,1.0,51,0.0,1,4.0,4
24-Apr-20,-1.0,50,0.0,1,0.0,4
25-Apr-20,6.0,56,0.0,1,14.0,18
26-Apr-20,1.0,57,0.0,1,0.0,18
27-Apr-20,0.0,57,0.0,1,2.0,20
28-Apr-20,9.0,66,0.0,1,1.0,21
29-Apr-20,3.0,69,1.0,2,2.0,23
30-Apr-20,2.0,71,1.0,3,1.0,24
01-May-20,0.0,71,0.0,3,0.0,24
02-May-20,5.0,76,0.0,3,2.0,26
03-May-20,9.0,85,0.0,3,2.0,28
04-May-20,0.0,85,0.0,3,0.0,28
05-May-20,78.0,163,0.0,3,5.0,33
06-May-20,12.0,175,0.0,3,5.0,38
07-May-20,26.0,201,0.0,3,5.0,43
08-May-20,12.0,213,0.0,3,2.0,45
09-May-20,13.0,226,0.0,3,0.0,45
10-May-20,4.0,230,0.0,3,0.0,45
11-May-20,32.0,262,0.0,3,53.0,98
12-May-20,13.0,275,7.0,10,0.0,98
13-May-20,33.0,308,0.0,10,0.0,98
14-May-20,19.0,327,1.0,11,0.0,98
15-May-20,65.0,392,1.0,12,1.0,99
