Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,4,4,0,0,0,0
25-Mar-20,5,9,0,0,0,0
26-Mar-20,0,9,0,0,0,0
27-Mar-20,15,24,0,0,0,0
28-Mar-20,0,24,0,0,0,0
29-Mar-20,1,25,0,0,0,0
30-Mar-20,0,25,0,0,0,0
31-Mar-20,0,25,0,0,0,0
01-Apr-20,0,25,0,0,0,0
02-Apr-20,0,25,0,0,0,0
03-Apr-20,0,25,0,0,0,0
04-Apr-20,0,25,0,0,0,0
05-Apr-20,0,25,0,0,0,0
06-Apr-20,0,25,0,0,0,0
07-Apr-20,1,26,0,0,0,0
08-Apr-20,0,26,0,0,0,0
09-Apr-20,0,26,0,0,0,0
10-Apr-20,0,26,0,0,0,0
11-Apr-20,0,26,0,0,0,0
12-Apr-20,0,26,0,0,0,0
13-Apr-20,0,26,0,0,0,0
14-Apr-20,0,26,0,0,0,0
15-Apr-20,0,26,0,0,0,0
16-Apr-20,0,26,0,0,0,0
17-Apr-20,0,26,0,0,0,0
18-Apr-20,0,26,0,0,0,0
19-Apr-20,0,26,0,0,0,0
20-Apr-20,0,26,0,0,0,0
21-Apr-20,0,26,0,0,0,0
22-Apr-20,1,27,1,1,0,0
23-Apr-20,0,27,0,1,25,25
24-Apr-20,0,27,0,1,0,25
25-Apr-20,0,27,0,1,0,25
26-Apr-20,0,27,0,1,0,25
27-Apr-20,0,27,0,1,0,25
28-Apr-20,0,27,0,1,0,25
29-Apr-20,2,29,0,1,0,25
30-Apr-20,0,29,0,1,0,25
01-May-20,0,29,0,1,0,25
02-May-20,2,31,0,1,0,25
03-May-20,0,31,0,1,0,25
04-May-20,0,31,0,1,0,25
05-May-20,3,34,0,1,0,25
06-May-20,1,35,0,1,0,25
07-May-20,0,35,0,1,0,25
08-May-20,0,35,0,1,0,25
09-May-20,0,35,0,1,1,26
10-May-20,2,37,0,1,0,26
11-May-20,0,37,0,1,1,27
12-May-20,1,38,0,1,1,28
13-May-20,3,41,0,1,0,28
14-May-20,2,43,0,1,0,28
15-May-20,1,44,0,1,0,28
