Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,0.0,0,0.0,0,0.0,0
06-Apr-20,0.0,0,0.0,0,0.0,0
07-Apr-20,0.0,0,0.0,0,0.0,0
08-Apr-20,0.0,0,0.0,0,0.0,0
09-Apr-20,0.0,0,0.0,0,0.0,0
10-Apr-20,0.0,0,0.0,0,0.0,0
11-Apr-20,0.0,0,0.0,0,0.0,0
12-Apr-20,1.0,1,0.0,0,0.0,0
13-Apr-20,0.0,1,0.0,0,0.0,0
14-Apr-20,2.0,3,0.0,0,0.0,0
15-Apr-20,7.0,10,0.0,0,0.0,0
16-Apr-20,2.0,12,0.0,0,0.0,0
17-Apr-20,0.0,12,0.0,0,0.0,0
18-Apr-20,2.0,14,0.0,0,0.0,0
19-Apr-20,0.0,14,0.0,0,0.0,0
20-Apr-20,0.0,14,0.0,0,0.0,0
21-Apr-20,0.0,14,0.0,0,0.0,0
22-Apr-20,11.0,25,2.0,2,0.0,0
23-Apr-20,5.0,30,1.0,3,0.0,0
24-Apr-20,3.0,33,0.0,3,0.0,0
25-Apr-20,13.0,46,1.0,4,0.0,0
26-Apr-20,1.0,47,1.0,5,0.0,0
27-Apr-20,0.0,47,0.0,5,0.0,0
28-Apr-20,35.0,82,0.0,5,0.0,0
29-Apr-20,3.0,85,1.0,6,0.0,0
30-Apr-20,14.0,99,0.0,6,0.0,0
01-May-20,0.0,99,0.0,6,0.0,0
02-May-20,16.0,115,0.0,6,0.0,0
03-May-20,1.0,116,0.0,6,0.0,0
04-May-20,0.0,116,0.0,6,0.0,0
05-May-20,14.0,130,1.0,7,22.0,22
06-May-20,45.0,175,1.0,8,0.0,22
07-May-20,8.0,183,2.0,10,0.0,22
08-May-20,2.0,185,0.0,10,0.0,22
09-May-20,5.0,190,0.0,10,6.0,28
10-May-20,60.0,250,1.0,11,0.0,28
11-May-20,46.0,296,5.0,16,1.0,29
12-May-20,21.0,317,3.0,19,18.0,47
13-May-20,3.0,320,0.0,19,0.0,47
14-May-20,24.0,344,2.0,21,0.0,47
15-May-20,21.0,365,0.0,21,25.0,72
