Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,3,0,0,0,0
15-Mar-20,0,3,0,0,0,0
16-Mar-20,4,7,0,0,0,0
17-Mar-20,0,7,0,0,0,0
18-Mar-20,0,7,0,0,0,0
19-Mar-20,1,8,0,0,0,0
20-Mar-20,0,8,0,0,0,0
21-Mar-20,1,9,0,0,0,0
22-Mar-20,1,10,0,0,0,0
23-Mar-20,2,12,0,0,0,0
24-Mar-20,2,14,0,0,0,0
25-Mar-20,2,16,0,0,0,0
26-Mar-20,0,16,0,0,0,0
27-Mar-20,2,18,0,0,0,0
28-Mar-20,1,19,0,0,0,0
29-Mar-20,4,23,0,0,0,0
30-Mar-20,0,23,0,0,0,0
31-Mar-20,13,36,0,0,0,0
01-Apr-20,0,36,0,0,0,0
02-Apr-20,9,45,0,0,0,0
03-Apr-20,10,55,0,0,0,0
04-Apr-20,21,76,0,0,0,0
05-Apr-20,1,77,0,0,0,0
06-Apr-20,0,77,0,0,0,0
07-Apr-20,0,77,0,0,0,0
08-Apr-20,5,82,0,0,0,0
09-Apr-20,15,97,0,0,0,0
10-Apr-20,22,119,0,0,0,0
11-Apr-20,24,143,0,0,0,0
12-Apr-20,42,185,0,0,0,0
13-Apr-20,21,206,0,0,0,0
14-Apr-20,60,266,0,0,0,0
15-Apr-20,14,280,0,0,0,0
16-Apr-20,13,293,0,0,0,0
17-Apr-20,18,311,0,0,0,0
18-Apr-20,30,341,0,0,0,0
19-Apr-20,0,341,0,0,0,0
20-Apr-20,0,341,0,0,0,0
21-Apr-20,21,362,0,0,0,0
22-Apr-20,85,447,13,13,0,0
23-Apr-20,30,477,1,14,33,33
24-Apr-20,118,595,0,14,0,33
25-Apr-20,122,717,0,14,81,114
26-Apr-20,21,738,0,14,5,119
27-Apr-20,0,738,0,14,6,125
28-Apr-20,86,824,0,14,4,129
29-Apr-20,58,882,0,14,34,163
30-Apr-20,61,943,2,16,9,172
01-May-20,0,943,1,17,0,172
02-May-20,143,1086,1,18,13,185
03-May-20,56,1142,2,20,65,250
04-May-20,0,1142,0,20,0,250
05-May-20,262,1404,1,21,35,285
06-May-20,212,1616,0,21,13,298
07-May-20,273,1889,0,21,54,352
08-May-20,164,2053,0,21,0,352
09-May-20,204,2257,0,21,7,359
10-May-20,191,2448,0,21,0,359
11-May-20,144,2592,2,23,219,578
12-May-20,222,2814,2,25,0,578
13-May-20,251,3065,0,25,0,578
14-May-20,222,3287,11,36,0,578
15-May-20,212,3499,2,38,52,630
