Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,1,1,0,0,0,0
25-Mar-20,0,1,0,0,0,0
26-Mar-20,0,1,0,0,0,0
27-Mar-20,0,1,0,0,0,0
28-Mar-20,0,1,0,0,0,0
29-Mar-20,0,1,0,0,0,0
30-Mar-20,0,1,0,0,0,0
31-Mar-20,0,1,0,0,0,0
01-Apr-20,0,1,0,0,0,0
02-Apr-20,1,2,0,0,0,0
03-Apr-20,0,2,0,0,0,0
04-Apr-20,0,2,0,0,0,0
05-Apr-20,0,2,0,0,0,0
06-Apr-20,0,2,0,0,1,1
07-Apr-20,0,2,0,0,0,1
08-Apr-20,0,2,0,0,0,1
09-Apr-20,0,2,0,0,0,1
10-Apr-20,0,2,0,0,0,1
11-Apr-20,0,2,0,0,0,1
12-Apr-20,0,2,0,0,0,1
13-Apr-20,0,2,0,0,0,1
14-Apr-20,0,2,0,0,0,1
15-Apr-20,0,2,0,0,0,1
16-Apr-20,0,2,0,0,0,1
17-Apr-20,0,2,0,0,0,1
18-Apr-20,0,2,0,0,0,1
19-Apr-20,0,2,0,0,0,1
20-Apr-20,0,2,0,0,1,2
21-Apr-20,0,2,0,0,0,2
22-Apr-20,0,2,0,0,0,2
23-Apr-20,0,2,0,0,0,2
24-Apr-20,0,2,0,0,0,2
25-Apr-20,0,2,0,0,0,2
26-Apr-20,0,2,0,0,0,2
27-Apr-20,0,2,0,0,0,2
28-Apr-20,0,2,0,0,0,2
29-Apr-20,0,2,0,0,0,2
30-Apr-20,0,2,0,0,0,2
01-May-20,0,2,0,0,0,2
02-May-20,0,2,0,0,0,2
03-May-20,0,2,0,0,0,2
04-May-20,0,2,0,0,0,2
05-May-20,0,2,0,0,0,2
06-May-20,0,2,0,0,0,2
07-May-20,0,2,0,0,0,2
08-May-20,0,2,0,0,0,2
09-May-20,0,2,0,0,0,2
10-May-20,0,2,0,0,0,2
11-May-20,0,2,0,0,0,2
12-May-20,0,2,0,0,0,2
13-May-20,0,2,0,0,0,2
14-May-20,1,3,0,0,0,2
15-May-20,0,3,0,0,0,2
16-May-20,4,7,0,0,0,2
17-May-20,0,7,0,0,0,2
18-May-20,0,7,0,0,0,2
19-May-20,2,9,0,0,0,2
20-May-20,16,25,0,0,0,2
21-May-20,0,25,0,0,0,2
22-May-20,1,26,0,0,0,2
23-May-20,3,29,0,0,0,2
24-May-20,3,32,0,0,2,4
25-May-20,4,36,0,0,0,4
26-May-20,3,39,0,0,0,4
27-May-20,5,44,0,0,0,4
28-May-20,11,55,0,0,0,4
29-May-20,4,59,0,0,2,6
30-May-20,1,60,0,0,0,6
31-May-20,11,71,0,0,5,11
01-Jun-20,12,83,0,0,0,11
02-Jun-20,6,89,0,0,3,14
03-Jun-20,19,108,0,0,24,38
04-Jun-20,16,124,0,0,0,38
05-Jun-20,8,132,0,0,0,38
06-Jun-20,25,157,0,0,14,52
07-Jun-20,15,172,0,0,0,52
08-Jun-20,100,272,0,0,6,58
09-Jun-20,32,304,0,0,6,64
10-Jun-20,7,311,0,0,0,64
11-Jun-20,55,366,0,0,9,73
12-Jun-20,19,385,0,0,0,73
13-Jun-20,64,449,0,0,0,73
14-Jun-20,9,458,0,0,18,91
15-Jun-20,32,490,0,0,60,151
16-Jun-20,10,500,0,0,8,159
17-Jun-20,52,552,0,0,33,192
18-Jun-20,54,606,0,0,7,199
19-Jun-20,75,681,0,0,19,218
20-Jun-20,96,777,0,0,14,232
21-Jun-20,64,841,0,0,18,250
22-Jun-20,57,898,0,0,0,250
23-Jun-20,23,921,0,0,8,258
24-Jun-20,49,970,0,0,70,328
25-Jun-20,86,1056,0,0,26,354
26-Jun-20,19,1075,0,0,39,393
27-Jun-20,17,1092,0,0,39,432
28-Jun-20,93,1185,0,0,23,455
29-Jun-20,42,1227,0,0,39,494
30-Jun-20,7,1234,0,0,59,553
01-Jul-20,26,1260,0,0,26,579
02-Jul-20,19,1279,0,0,37,616
03-Jul-20,37,1316,0,0,23,639
04-Jul-20,9,1325,0,0,28,667
05-Jul-20,41,1366,0,0,22,689
06-Jul-20,24,1390,0,0,45,734
07-Jul-20,40,1430,0,0,37,771
08-Jul-20,5,1435,0,0,22,793
09-Jul-20,15,1450,0,0,6,799
10-Jul-20,132,1582,0,0,33,832
