Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,0,0,0,0,0,0
04-Apr-20,0,0,0,0,0,0
05-Apr-20,0,0,0,0,0,0
06-Apr-20,0,0,0,0,0,0
07-Apr-20,0,0,0,0,0,0
08-Apr-20,0,0,0,0,0,0
09-Apr-20,0,0,0,0,0,0
10-Apr-20,0,0,0,0,0,0
11-Apr-20,0,0,0,0,0,0
12-Apr-20,0,0,0,0,0,0
13-Apr-20,1,1,0,0,0,0
14-Apr-20,0,1,0,0,0,0
15-Apr-20,6,7,1,1,0,0
16-Apr-20,2,9,0,1,0,0
17-Apr-20,0,9,0,1,0,0
18-Apr-20,2,11,0,1,0,0
19-Apr-20,0,11,0,1,0,0
20-Apr-20,0,11,0,1,0,0
21-Apr-20,1,12,0,1,0,0
22-Apr-20,0,12,0,1,0,0
23-Apr-20,0,12,0,1,0,0
24-Apr-20,0,12,0,1,0,0
25-Apr-20,0,12,0,1,0,0
26-Apr-20,0,12,0,1,0,0
27-Apr-20,0,12,0,1,0,0
28-Apr-20,0,12,0,1,0,0
29-Apr-20,0,12,0,1,0,0
30-Apr-20,0,12,0,1,0,0
01-May-20,0,12,0,1,10,10
02-May-20,0,12,0,1,0,10
03-May-20,0,12,0,1,0,10
04-May-20,0,12,0,1,0,10
05-May-20,0,12,0,1,0,10
06-May-20,0,12,0,1,0,10
07-May-20,0,12,0,1,0,10
08-May-20,0,12,0,1,0,10
09-May-20,1,13,0,1,0,10
10-May-20,0,13,0,1,0,10
11-May-20,0,13,0,1,0,10
12-May-20,0,13,0,1,0,10
13-May-20,0,13,0,1,1,11
14-May-20,0,13,0,1,0,11
15-May-20,0,13,0,1,0,11
16-May-20,0,13,0,1,0,11
17-May-20,0,13,0,1,0,11
18-May-20,0,13,0,1,1,12
19-May-20,0,13,0,1,0,12
20-May-20,1,14,0,1,0,12
21-May-20,0,14,0,1,0,12
22-May-20,0,14,0,1,0,12
23-May-20,0,14,0,1,0,12
24-May-20,0,14,0,1,0,12
25-May-20,1,15,0,1,0,12
26-May-20,5,20,0,1,0,12
27-May-20,0,20,0,1,0,12
28-May-20,1,21,0,1,0,12
29-May-20,6,27,0,1,0,12
30-May-20,0,27,0,1,0,12
31-May-20,0,27,0,1,0,12
01-Jun-20,1,28,0,1,0,12
02-Jun-20,2,30,0,1,0,12
03-Jun-20,3,33,0,1,1,13
04-Jun-20,0,33,0,1,0,13
05-Jun-20,0,33,0,1,0,13
06-Jun-20,0,33,0,1,0,13
07-Jun-20,3,36,0,1,0,13
08-Jun-20,3,39,0,1,0,13
09-Jun-20,4,43,0,1,0,13
10-Jun-20,1,44,0,1,0,13
11-Jun-20,0,44,0,1,5,18
12-Jun-20,0,44,0,1,4,22
13-Jun-20,0,44,0,1,1,23
14-Jun-20,0,44,0,1,3,26
15-Jun-20,0,44,0,1,0,26
16-Jun-20,0,44,0,1,2,28
17-Jun-20,-1,43,0,1,3,31
18-Jun-20,0,43,0,1,1,32
19-Jun-20,0,43,0,1,0,32
20-Jun-20,0,43,0,1,0,32
21-Jun-20,0,43,0,1,5,37
22-Jun-20,2,45,0,1,0,37
23-Jun-20,1,46,0,1,4,41
24-Jun-20,0,46,0,1,0,41
25-Jun-20,0,46,0,1,1,42
26-Jun-20,2,48,0,1,0,42
27-Jun-20,0,48,0,1,0,42
28-Jun-20,2,50,0,1,0,42
29-Jun-20,1,51,0,1,0,42
30-Jun-20,2,53,0,1,0,42
01-Jul-20,2,55,0,1,0,42
02-Jul-20,3,58,0,1,1,43
03-Jul-20,4,62,0,1,0,43
04-Jul-20,8,70,0,1,0,43
05-Jul-20,2,72,0,1,0,43
06-Jul-20,16,88,0,1,0,43
07-Jul-20,6,94,0,1,0,43
08-Jul-20,6,100,1,2,2,45
09-Jul-20,13,113,0,2,0,45
10-Jul-20,73,186,0,2,0,45
11-Jul-20,76,262,0,2,0,45
