Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,1,5,0,1,0,0
15-Mar-20,0,5,0,1,0,0
16-Mar-20,1,6,0,1,0,0
17-Mar-20,1,7,0,1,0,0
18-Mar-20,1,8,0,1,0,0
19-Mar-20,1,9,0,1,0,0
20-Mar-20,2,11,0,1,0,0
21-Mar-20,8,19,0,1,0,0
22-Mar-20,5,24,1,2,0,0
23-Mar-20,11,35,0,2,0,0
24-Mar-20,6,41,0,2,0,0
25-Mar-20,7,48,0,2,0,0
26-Mar-20,1,49,0,2,0,0
27-Mar-20,2,51,0,2,0,0
28-Mar-20,22,73,0,2,0,0
29-Mar-20,5,78,0,2,0,0
30-Mar-20,7,85,0,2,0,0
31-Mar-20,59,144,0,2,0,0
01-Apr-20,30,174,0,2,0,0
02-Apr-20,54,228,0,2,0,0
03-Apr-20,43,271,0,2,0,0
04-Apr-20,99,370,0,2,0,0
05-Apr-20,81,451,0,2,0,0
06-Apr-20,67,518,0,2,0,0
07-Apr-20,124,642,0,2,0,0
08-Apr-20,72,714,0,2,0,0
09-Apr-20,162,876,0,2,0,0
10-Apr-20,132,1008,0,2,0,0
11-Apr-20,138,1146,0,2,0,0
12-Apr-20,152,1298,0,2,0,0
13-Apr-20,242,1540,0,2,0,0
14-Apr-20,216,1756,0,2,0,0
15-Apr-20,140,1896,0,2,0,0
16-Apr-20,177,2073,0,2,0,0
17-Apr-20,12,2085,0,2,0,0
18-Apr-20,183,2268,0,2,0,0
19-Apr-20,0,2268,0,2,0,0
