Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,0,0,0,0,0,0
04-Apr-20,0,0,0,0,0,0
05-Apr-20,0,0,0,0,0,0
06-Apr-20,0,0,0,0,0,0
07-Apr-20,0,0,0,0,0,0
08-Apr-20,0,0,0,0,0,0
09-Apr-20,0,0,0,0,0,0
10-Apr-20,0,0,0,0,0,0
11-Apr-20,0,0,0,0,0,0
12-Apr-20,0,0,0,0,0,0
13-Apr-20,0,0,0,0,0,0
14-Apr-20,0,0,0,0,0,0
15-Apr-20,0,0,0,0,0,0
16-Apr-20,0,0,0,0,0,0
17-Apr-20,0,0,0,0,0,0
18-Apr-20,0,0,0,0,0,0
19-Apr-20,0,0,0,0,0,0
20-Apr-20,0,0,0,0,0,0
21-Apr-20,0,0,0,0,0,0
22-Apr-20,0,0,0,0,0,0
23-Apr-20,0,0,0,0,0,0
24-Apr-20,0,0,0,0,0,0
25-Apr-20,0,0,0,0,0,0
26-Apr-20,0,0,0,0,0,0
27-Apr-20,0,0,0,0,0,0
28-Apr-20,0,0,0,0,0,0
29-Apr-20,0,0,0,0,0,0
30-Apr-20,0,0,0,0,0,0
01-May-20,0,0,0,0,0,0
02-May-20,0,0,0,0,0,0
03-May-20,0,0,0,0,0,0
04-May-20,0,0,0,0,0,0
05-May-20,0,0,0,0,0,0
06-May-20,0,0,0,0,0,0
07-May-20,0,0,0,0,0,0
08-May-20,0,0,0,0,0,0
09-May-20,0,0,0,0,0,0
10-May-20,0,0,0,0,0,0
11-May-20,0,0,0,0,0,0
12-May-20,0,0,0,0,0,0
13-May-20,0,0,0,0,0,0
14-May-20,0,0,0,0,0,0
15-May-20,0,0,0,0,0,0
16-May-20,0,0,0,0,0,0
17-May-20,0,0,0,0,0,0
18-May-20,0,0,0,0,0,0
19-May-20,0,0,0,0,0,0
20-May-20,0,0,0,0,0,0
21-May-20,0,0,0,0,0,0
22-May-20,0,0,0,0,0,0
23-May-20,0,0,0,0,0,0
24-May-20,0,0,0,0,0,0
25-May-20,3,3,0,0,0,0
26-May-20,1,4,0,0,0,0
27-May-20,5,9,0,0,0,0
28-May-20,9,18,0,0,0,0
29-May-20,7,25,0,0,0,0
30-May-20,11,36,0,0,0,0
31-May-20,7,43,0,0,0,0
01-Jun-20,0,43,0,0,0,0
02-Jun-20,6,49,0,0,0,0
03-Jun-20,9,58,0,0,0,0
04-Jun-20,22,80,0,0,0,0
05-Jun-20,27,107,0,0,0,0
06-Jun-20,0,107,0,0,8,8
07-Jun-20,9,116,0,0,0,8
08-Jun-20,6,122,0,0,0,8
09-Jun-20,5,127,0,0,2,10
10-Jun-20,1,128,0,0,12,22
11-Jun-20,2,130,0,0,7,29
12-Jun-20,26,156,0,0,28,57
13-Jun-20,7,163,0,0,27,84
14-Jun-20,10,173,0,0,4,88
15-Jun-20,4,177,0,0,0,88
16-Jun-20,2,179,0,0,15,103
17-Jun-20,14,193,0,0,0,103
18-Jun-20,0,193,0,0,6,109
19-Jun-20,5,198,0,0,16,125
20-Jun-20,3,201,0,0,13,138
21-Jun-20,10,211,0,0,3,141
22-Jun-20,69,280,0,0,0,141
23-Jun-20,50,330,0,0,0,141
24-Jun-20,17,347,0,0,7,148
25-Jun-20,8,355,0,0,12,160
26-Jun-20,16,371,0,0,2,162
27-Jun-20,16,387,0,0,2,164
28-Jun-20,28,415,0,0,0,164
29-Jun-20,36,451,0,0,4,168
30-Jun-20,8,459,0,0,0,168
01-Jul-20,42,501,0,0,14,182
02-Jul-20,34,535,0,0,15,197
03-Jul-20,4,539,0,0,31,228
04-Jul-20,24,563,0,0,0,228
05-Jul-20,27,590,0,0,3,231
06-Jul-20,35,625,0,0,12,243
07-Jul-20,19,644,0,0,60,303
08-Jul-20,13,657,0,0,1,304
09-Jul-20,16,673,0,0,0,304
10-Jul-20,59,732,0,0,0,304
11-Jul-20,16,748,0,0,9,313
