Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,7,7,1,1,1,1
15-Mar-20,0,7,0,1,1,2
16-Mar-20,0,7,0,1,0,2
17-Mar-20,1,8,0,1,0,2
18-Mar-20,2,10,0,1,0,2
19-Mar-20,4,14,0,1,1,3
20-Mar-20,6,20,0,1,2,5
21-Mar-20,7,27,0,1,0,5
22-Mar-20,0,27,0,1,0,5
23-Mar-20,3,30,0,1,0,5
24-Mar-20,0,30,0,1,1,6
25-Mar-20,5,35,0,1,0,6
26-Mar-20,1,36,0,1,0,6
27-Mar-20,4,40,0,1,0,6
28-Mar-20,9,49,0,1,0,6
29-Mar-20,23,72,1,2,0,6
30-Mar-20,25,97,0,2,0,6
31-Mar-20,23,120,0,2,0,6
01-Apr-20,32,152,0,2,0,6
02-Apr-20,141,293,2,4,2,8
03-Apr-20,93,386,2,6,0,8
04-Apr-20,59,445,0,6,8,16
05-Apr-20,58,503,1,7,0,16
06-Apr-20,22,525,0,7,0,16
07-Apr-20,51,576,2,9,4,20
08-Apr-20,93,669,0,9,1,21
09-Apr-20,51,720,3,12,4,25
10-Apr-20,183,903,2,14,2,27
11-Apr-20,166,1069,5,19,0,27
12-Apr-20,85,1154,5,24,1,28
13-Apr-20,356,1510,4,28,3,31
14-Apr-20,51,1561,2,30,0,31
15-Apr-20,17,1578,2,32,10,41
16-Apr-20,62,1640,6,38,11,52
17-Apr-20,67,1707,4,42,20,72
18-Apr-20,186,1893,1,43,135,207
19-Apr-20,110,2003,2,45,83,290
20-Apr-20,78,2081,2,47,141,431
21-Apr-20,75,2156,0,47,180,611
22-Apr-20,92,2248,1,48,113,724
23-Apr-20,128,2376,2,50,84,808
24-Apr-20,138,2514,3,53,49,857
25-Apr-20,111,2625,1,54,12,869
26-Apr-20,293,2918,0,54,8,877
27-Apr-20,190,3108,0,54,0,877
28-Apr-20,206,3314,0,54,201,1078
29-Apr-20,125,3439,2,56,14,1092
30-Apr-20,76,3515,3,59,2,1094
01-May-20,223,3738,2,61,73,1167
02-May-20,384,4122,3,64,89,1256
03-May-20,427,4549,0,64,106,1362
04-May-20,349,4898,0,64,69,1431
05-May-20,206,5104,0,64,37,1468
06-May-20,428,5532,1,65,74,1542
07-May-20,448,5980,1,66,389,1931
08-May-20,338,6318,2,68,89,2020
09-May-20,224,6542,0,68,0,2020
10-May-20,381,6923,5,73,49,2069
11-May-20,310,7233,0,73,60,2129
12-May-20,406,7639,13,86,383,2512
13-May-20,359,7998,20,106,346,2858
14-May-20,472,8470,9,115,187,3045
15-May-20,425,8895,8,123,473,3518
16-May-20,438,9333,6,129,408,3926
17-May-20,422,9755,19,148,276,4202
18-May-20,299,10054,12,160,283,4485
19-May-20,500,10554,6,166,265,4750
20-May-20,534,11088,10,176,442,5192
21-May-20,571,11659,18,194,375,5567
22-May-20,660,12319,14,208,330,5897
23-May-20,591,12910,23,231,370,6267
24-May-20,508,13418,30,261,273,6540
25-May-20,635,14053,15,276,231,6771
26-May-20,412,14465,12,288,183,6954
27-May-20,792,15257,15,303,310,7264
28-May-20,1024,16281,13,316,231,7495
29-May-20,1105,17386,82,398,351,7846
30-May-20,1163,18549,18,416,229,8075
31-May-20,1295,19844,57,473,403,8478
01-Jun-20,990,20834,50,523,268,8746
02-Jun-20,1298,22132,33,556,497,9243
03-Jun-20,1513,23645,59,615,299,9542
04-Jun-20,1359,25004,44,659,356,9898
05-Jun-20,1330,26334,49,708,417,10315
06-Jun-20,1320,27654,53,761,349,10664
07-Jun-20,1282,28936,51,812,335,10999
08-Jun-20,1007,29943,62,874,358,11357
09-Jun-20,1366,31309,31,905,504,11861
10-Jun-20,1501,32810,79,984,384,12245
11-Jun-20,1877,34687,101,1085,486,12731
12-Jun-20,2137,36824,129,1214,667,13398
13-Jun-20,2134,38958,57,1271,1547,14945
14-Jun-20,2224,41182,56,1327,878,15823
15-Jun-20,1647,42829,73,1400,604,16427
16-Jun-20,1859,44688,437,1837,73,16500
17-Jun-20,2414,47102,67,1904,957,17457
18-Jun-20,2877,49979,65,1969,3884,21341
19-Jun-20,3137,53116,66,2035,2228,23569
20-Jun-20,3630,56746,77,2112,7725,31294
21-Jun-20,3000,59746,63,2175,1719,33013
22-Jun-20,2909,62655,58,2233,3589,36602
23-Jun-20,3947,66602,68,2301,2711,39313
24-Jun-20,3788,70390,64,2365,2124,41437
25-Jun-20,3390,73780,64,2429,3328,44765
26-Jun-20,3460,77240,63,2492,2326,47091
27-Jun-20,2948,80188,66,2558,2210,49301
28-Jun-20,2889,83077,65,2623,3306,52607
29-Jun-20,2084,85161,57,2680,3628,56235
30-Jun-20,2199,87360,62,2742,2113,58348
01-Jul-20,2442,89802,61,2803,1644,59992
02-Jul-20,2373,92175,61,2864,3015,63007
03-Jul-20,2520,94695,59,2923,2617,65624
04-Jul-20,2505,97200,81,3004,2632,68256
05-Jul-20,2244,99444,63,3067,3083,71339
06-Jul-20,1379,100823,48,3115,749,72088
07-Jul-20,2008,102831,50,3165,2129,74217
08-Jul-20,2033,104864,48,3213,3982,78199
09-Jul-20,2187,107051,45,3258,4027,82226
10-Jul-20,2089,109140,42,3300,2468,84694
11-Jul-20,1781,110921,34,3334,2998,87692
12-Jul-20,1573,112494,37,3371,2276,89968
13-Jul-20,1246,113740,40,3411,1344,91312
14-Jul-20,1606,115346,35,3446,1924,93236
15-Jul-20,1647,116993,41,3487,2463,95699
16-Jul-20,1652,118645,58,3545,1994,97693
17-Jul-20,1462,120107,26,3571,1608,99301
18-Jul-20,1475,121582,26,3597,1973,101274
19-Jul-20,1211,122793,31,3628,1860,103134
20-Jul-20,954,123747,35,3663,1784,104918
21-Jul-20,1349,125096,27,3690,1200,106118
22-Jul-20,1227,126323,29,3719,1532,107650
23-Jul-20,1041,127364,26,3745,1415,109065
24-Jul-20,1025,128389,32,3777,1866,110931
25-Jul-20,1142,129531,29,3806,2137,113068
26-Jul-20,1075,130606,21,3827,1807,114875
27-Jul-20,613,131219,26,3853,1497,116372
28-Jul-20,1056,132275,28,3881,1135,117507
29-Jul-20,1035,133310,26,3907,1126,118633
30-Jul-20,1093,134403,29,3936,1091,119724
31-Jul-20,1195,135598,27,3963,1206,120930
01-Aug-20,1118,136716,26,3989,1201,122131
02-Aug-20,961,137677,15,4004,1186,123317
03-Aug-20,805,138482,17,4021,937,124254
04-Aug-20,674,139156,12,4033,972,125226
05-Aug-20,1076,140232,11,4044,890,126116
06-Aug-20,1299,141531,15,4059,1008,127124
07-Aug-20,1192,142723,23,4082,1108,128232
08-Aug-20,1404,144127,16,4098,1130,129362
09-Aug-20,1300,145427,13,4111,1225,130587
10-Aug-20,707,146134,20,4131,1070,131657
11-Aug-20,1257,147391,8,4139,727,132384
12-Aug-20,1113,148504,14,4153,1021,133405
13-Aug-20,956,149460,14,4167,913,134318
14-Aug-20,1192,150652,11,4178,790,135108
15-Aug-20,1276,151928,10,4188,1143,136251
16-Aug-20,652,152580,8,4196,1310,137561
17-Aug-20,787,153367,18,4214,740,138301
18-Aug-20,1374,154741,12,4226,1146,139447
19-Aug-20,1398,156139,9,4235,1320,140767
20-Aug-20,1215,157354,22,4257,1059,141826
21-Aug-20,1250,158604,13,4270,1082,142908
