Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,1,0.0,1,0.0,1
15-Mar-20,0.0,1,0.0,1,0.0,1
16-Mar-20,0.0,1,0.0,1,0.0,1
17-Mar-20,0.0,1,0.0,1,0.0,1
18-Mar-20,0.0,1,0.0,1,0.0,1
19-Mar-20,1.0,2,0.0,1,0.0,1
20-Mar-20,0.0,2,0.0,1,0.0,1
21-Mar-20,1.0,3,0.0,1,0.0,1
22-Mar-20,0.0,3,0.0,1,0.0,1
23-Mar-20,0.0,3,0.0,1,0.0,1
24-Mar-20,0.0,3,0.0,1,0.0,1
25-Mar-20,1.0,4,0.0,1,0.0,1
26-Mar-20,0.0,4,0.0,1,0.0,1
27-Mar-20,0.0,4,0.0,1,0.0,1
28-Mar-20,1.0,5,0.0,1,0.0,1
29-Mar-20,2.0,7,0.0,1,0.0,1
30-Mar-20,2.0,9,0.0,1,0.0,1
31-Mar-20,2.0,11,0.0,1,0.0,1
01-Apr-20,3.0,14,0.0,1,0.0,1
02-Apr-20,13.0,27,0.0,1,0.0,1
03-Apr-20,9.0,36,0.0,1,0.0,1
04-Apr-20,5.0,41,0.0,1,1.0,2
05-Apr-20,5.0,46,0.0,1,0.0,2
06-Apr-20,2.0,48,0.0,1,0.0,2
07-Apr-20,5.0,53,0.0,1,0.0,2
08-Apr-20,8.0,61,0.0,1,0.0,2
09-Apr-20,5.0,66,1.0,2,1.0,3
10-Apr-20,17.0,83,0.0,2,0.0,3
11-Apr-20,15.0,98,0.0,2,0.0,3
12-Apr-20,7.0,105,1.0,3,0.0,3
13-Apr-20,33.0,138,0.0,3,0.0,3
14-Apr-20,4.0,142,0.0,3,0.0,3
15-Apr-20,2.0,144,0.0,3,1.0,4
16-Apr-20,6.0,150,1.0,4,1.0,5
17-Apr-20,6.0,156,0.0,4,2.0,7
18-Apr-20,17.0,173,0.0,4,12.0,19
19-Apr-20,10.0,183,1.0,5,8.0,27
20-Apr-20,7.0,190,0.0,5,13.0,40
21-Apr-20,6.0,196,0.0,5,16.0,56
22-Apr-20,9.0,205,0.0,5,10.0,66
23-Apr-20,11.0,216,0.0,5,8.0,74
24-Apr-20,13.0,229,0.0,5,4.0,78
25-Apr-20,10.0,239,0.0,5,1.0,79
26-Apr-20,27.0,266,0.0,5,1.0,80
27-Apr-20,17.0,283,0.0,5,0.0,80
28-Apr-20,19.0,302,0.0,5,18.0,98
29-Apr-20,11.0,313,1.0,6,2.0,100
30-Apr-20,7.0,320,0.0,6,0.0,100
01-May-20,20.0,340,0.0,6,7.0,107
02-May-20,35.0,375,0.0,6,8.0,115
03-May-20,39.0,414,0.0,6,9.0,124
04-May-20,32.0,446,0.0,6,7.0,131
05-May-20,18.0,464,0.0,6,3.0,134
06-May-20,39.0,503,0.0,6,7.0,141
07-May-20,41.0,544,0.0,6,35.0,176
08-May-20,31.0,575,1.0,7,8.0,184
09-May-20,20.0,595,0.0,7,0.0,184
10-May-20,35.0,630,0.0,7,5.0,189
11-May-20,28.0,658,0.0,7,5.0,194
12-May-20,37.0,695,1.0,8,35.0,229
13-May-20,33.0,728,2.0,10,31.0,260
14-May-20,42.0,770,1.0,11,17.0,277
15-May-20,39.0,809,1.0,12,43.0,320
