Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,1,1,1,1,1,1
15-Mar-20,0,1,0,1,1,1
16-Mar-20,0,1,0,1,0,1
17-Mar-20,1,1,0,1,0,1
18-Mar-20,1,2,0,1,0,1
19-Mar-20,1,2,0,1,1,1
20-Mar-20,1,3,0,1,1,1
21-Mar-20,1,3,0,1,0,1
22-Mar-20,0,3,0,1,0,1
23-Mar-20,1,4,0,1,0,1
24-Mar-20,0,4,0,1,1,1
25-Mar-20,1,4,0,1,0,1
26-Mar-20,1,4,0,1,0,1
27-Mar-20,1,5,0,1,0,1
28-Mar-20,1,6,0,1,0,1
29-Mar-20,3,8,1,1,0,1
30-Mar-20,3,11,0,1,0,1
31-Mar-20,3,14,0,1,0,1
01-Apr-20,4,17,0,1,0,1
02-Apr-20,16,33,1,1,1,1
03-Apr-20,11,43,1,1,0,1
04-Apr-20,7,50,0,1,1,2
05-Apr-20,7,56,1,1,0,2
06-Apr-20,3,59,0,1,0,2
07-Apr-20,6,64,1,1,1,3
08-Apr-20,11,75,0,1,1,3
09-Apr-20,6,80,1,2,1,3
10-Apr-20,21,101,1,2,1,3
11-Apr-20,19,119,1,3,0,3
12-Apr-20,10,129,1,3,1,4
13-Apr-20,40,168,1,4,1,4
14-Apr-20,6,174,1,4,0,4
15-Apr-20,2,176,1,4,2,5
16-Apr-20,7,183,1,5,2,6
17-Apr-20,8,190,1,5,3,8
18-Apr-20,21,211,1,5,15,23
19-Apr-20,13,223,1,5,10,33
