Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,1,1,0,0,0,0
17-Mar-20,0,1,0,0,0,0
18-Mar-20,1,2,0,0,0,0
19-Mar-20,0,2,0,0,0,0
20-Mar-20,0,2,0,0,0,0
21-Mar-20,0,2,0,0,0,0
22-Mar-20,0,2,0,0,0,0
23-Mar-20,0,2,0,0,0,0
24-Mar-20,0,2,0,0,0,0
25-Mar-20,0,2,0,0,0,0
26-Mar-20,1,3,0,0,0,0
27-Mar-20,0,3,0,0,0,0
28-Mar-20,0,3,0,0,0,0
29-Mar-20,0,3,0,0,0,0
30-Mar-20,0,3,0,0,0,0
31-Mar-20,1,4,0,0,0,0
01-Apr-20,1,5,0,0,1,1
02-Apr-20,0,5,0,0,0,1
03-Apr-20,15,20,0,0,1,2
04-Apr-20,1,21,0,0,0,2
05-Apr-20,18,39,0,0,0,2
06-Apr-20,1,40,0,0,0,2
07-Apr-20,2,42,1,1,0,2
08-Apr-20,0,42,0,1,0,2
09-Apr-20,6,48,0,1,0,2
10-Apr-20,2,50,0,1,10,12
11-Apr-20,4,54,0,1,0,12
12-Apr-20,0,54,0,1,0,12
13-Apr-20,1,55,0,1,6,18
14-Apr-20,5,60,0,1,0,18
15-Apr-20,0,60,0,1,1,19
16-Apr-20,0,60,0,1,0,19
17-Apr-20,0,60,0,1,2,21
18-Apr-20,1,61,0,1,3,24
19-Apr-20,0,61,0,1,0,24
20-Apr-20,13,74,0,1,0,24
21-Apr-20,5,79,0,1,6,30
22-Apr-20,4,83,0,1,2,32
23-Apr-20,6,89,0,1,1,33
24-Apr-20,5,94,0,1,0,33
25-Apr-20,6,100,0,1,1,34
26-Apr-20,3,103,0,1,1,35
27-Apr-20,15,118,0,1,2,37
28-Apr-20,0,118,0,1,1,38
29-Apr-20,7,125,0,1,1,39
30-Apr-20,18,143,0,1,2,41
01-May-20,11,154,0,1,14,55
02-May-20,6,160,0,1,1,56
03-May-20,2,162,0,1,4,60
04-May-20,7,169,0,1,0,60
05-May-20,8,177,1,2,0,60
06-May-20,28,205,0,2,1,61
07-May-20,14,219,0,2,1,62
08-May-20,51,270,0,2,1,63
09-May-20,82,352,1,3,5,68
10-May-20,25,377,0,3,0,68
11-May-20,38,415,0,3,17,85
12-May-20,22,437,0,3,31,116
13-May-20,101,538,0,3,27,143
14-May-20,134,672,0,3,15,158
15-May-20,65,737,0,3,8,166
16-May-20,0,737,0,3,30,196
17-May-20,91,828,1,4,24,220
18-May-20,48,876,0,4,57,277
19-May-20,102,978,1,5,30,307
20-May-20,74,1052,1,6,36,343
21-May-20,51,1103,1,7,50,393
22-May-20,86,1189,0,7,43,436
23-May-20,80,1269,0,7,61,497
24-May-20,67,1336,0,7,53,550
25-May-20,102,1438,0,7,99,649
26-May-20,79,1517,0,7,84,733
27-May-20,76,1593,0,7,79,812
28-May-20,67,1660,0,7,75,887
29-May-20,63,1723,2,9,90,977
30-May-20,96,1819,0,9,73,1050
31-May-20,129,1948,0,9,76,1126
01-Jun-20,156,2104,0,9,119,1245
02-Jun-20,141,2245,0,9,80,1325
03-Jun-20,143,2388,0,9,91,1416
04-Jun-20,90,2478,0,9,65,1481
05-Jun-20,130,2608,1,10,123,1604
06-Jun-20,173,2781,0,10,112,1716
07-Jun-20,75,2856,1,11,178,1894
08-Jun-20,138,2994,0,11,99,1993
09-Jun-20,146,3140,0,11,140,2133
10-Jun-20,110,3250,0,11,149,2282
11-Jun-20,136,3386,1,12,72,2354
12-Jun-20,112,3498,1,13,120,2474
13-Jun-20,225,3723,0,13,120,2594
14-Jun-20,186,3909,1,14,114,2708
15-Jun-20,146,4055,0,14,146,2854
16-Jun-20,108,4163,0,14,120,2974
17-Jun-20,175,4338,0,14,73,3047
18-Jun-20,174,4512,0,14,97,3144
19-Jun-20,165,4677,0,14,153,3297
20-Jun-20,179,4856,1,15,237,3534
21-Jun-20,304,5160,4,19,186,3720
22-Jun-20,143,5303,2,21,143,3863
23-Jun-20,167,5470,3,24,125,3988
24-Jun-20,282,5752,0,24,135,4123
25-Jun-20,210,5962,0,24,168,4291
26-Jun-20,218,6180,0,24,131,4422
27-Jun-20,170,6350,1,25,184,4606
28-Jun-20,264,6614,3,28,137,4743
29-Jun-20,245,6859,2,30,203,4946
30-Jun-20,206,7065,2,32,243,5189
01-Jul-20,251,7316,1,33,164,5353
02-Jul-20,229,7545,2,35,149,5502
03-Jul-20,561,8106,2,37,203,5705
04-Jul-20,495,8601,6,43,229,5934
05-Jul-20,469,9070,3,46,290,6224
06-Jul-20,456,9526,2,48,262,6486
07-Jul-20,571,10097,6,54,217,6703
