Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,1,1,0,0,0,0
17-Mar-20,0,1,0,0,0,0
18-Mar-20,0,1,0,0,0,0
19-Mar-20,0,1,0,0,0,0
20-Mar-20,0,1,0,0,0,0
21-Mar-20,0,1,0,0,0,0
22-Mar-20,0,1,0,0,0,0
23-Mar-20,0,1,0,0,0,0
24-Mar-20,0,1,0,0,0,0
25-Mar-20,0,1,0,0,0,0
26-Mar-20,0,1,0,0,0,0
27-Mar-20,0,1,0,0,0,0
28-Mar-20,0,1,0,0,0,0
29-Mar-20,0,1,0,0,0,0
30-Mar-20,0,1,0,0,0,0
31-Mar-20,0,1,0,0,0,0
01-Apr-20,2,3,0,0,0,0
02-Apr-20,2,5,0,0,0,0
03-Apr-20,0,5,0,0,0,0
04-Apr-20,0,5,0,0,0,0
05-Apr-20,0,5,0,0,0,0
06-Apr-20,0,5,0,0,0,0
07-Apr-20,0,5,0,0,1,1
08-Apr-20,0,5,0,0,0,1
09-Apr-20,0,5,0,0,0,1
10-Apr-20,2,7,0,0,0,1
11-Apr-20,0,7,0,0,0,1
12-Apr-20,0,7,0,0,0,1
13-Apr-20,0,7,0,0,0,1
14-Apr-20,0,7,0,0,0,1
15-Apr-20,0,7,0,0,0,1
16-Apr-20,0,7,0,0,0,1
17-Apr-20,0,7,0,0,0,1
18-Apr-20,0,7,0,0,3,4
19-Apr-20,0,7,0,0,0,4
20-Apr-20,0,7,0,0,0,4
21-Apr-20,0,7,0,0,0,4
22-Apr-20,0,7,0,0,0,4
23-Apr-20,0,7,0,0,0,4
24-Apr-20,0,7,0,0,0,4
25-Apr-20,1,8,0,0,0,4
26-Apr-20,0,8,0,0,0,4
27-Apr-20,0,8,0,0,1,5
28-Apr-20,0,8,0,0,0,5
29-Apr-20,0,8,0,0,0,5
30-Apr-20,0,8,0,0,0,5
01-May-20,0,8,0,0,0,5
02-May-20,1,9,0,0,0,5
03-May-20,0,9,0,0,1,6
04-May-20,0,9,0,0,0,6
05-May-20,0,9,0,0,0,6
06-May-20,0,9,0,0,0,6
07-May-20,0,9,0,0,0,6
08-May-20,1,10,0,0,2,8
09-May-20,0,10,0,0,0,8
10-May-20,2,12,0,0,1,9
11-May-20,0,12,0,0,0,9
12-May-20,0,12,0,0,0,9
13-May-20,1,13,0,0,0,9
14-May-20,3,16,0,0,0,9
15-May-20,0,16,0,0,0,9
16-May-20,1,17,0,0,0,9
17-May-20,0,17,0,0,0,9
18-May-20,0,17,0,0,0,9
19-May-20,5,22,0,0,1,10
20-May-20,1,23,0,0,0,10
21-May-20,0,23,0,0,0,10
22-May-20,3,26,0,0,0,10
23-May-20,0,26,0,0,0,10
24-May-20,15,41,0,0,2,12
25-May-20,8,49,0,0,5,17
26-May-20,0,49,0,0,0,17
27-May-20,0,49,0,0,0,17
28-May-20,4,53,0,0,0,17
29-May-20,4,57,0,0,6,23
30-May-20,0,57,0,0,0,23
31-May-20,13,70,0,0,2,25
01-Jun-20,9,79,0,0,0,25
02-Jun-20,0,79,0,0,0,25
03-Jun-20,11,90,0,0,8,33
04-Jun-20,9,99,0,0,4,37
05-Jun-20,5,104,0,0,6,43
06-Jun-20,3,107,0,0,5,48
07-Jun-20,12,119,0,0,1,49
08-Jun-20,9,128,0,0,4,53
09-Jun-20,4,132,0,0,2,55
10-Jun-20,12,144,0,0,5,60
11-Jun-20,13,157,2,2,7,67
12-Jun-20,6,163,1,3,9,76
13-Jun-20,13,176,0,3,6,82
14-Jun-20,18,194,1,4,9,91
15-Jun-20,8,202,0,4,4,95
16-Jun-20,14,216,0,4,4,99
17-Jun-20,29,245,1,5,10,109
18-Jun-20,26,271,1,6,7,116
19-Jun-20,16,287,1,7,2,118
20-Jun-20,51,338,0,7,13,131
21-Jun-20,28,366,1,8,9,140
22-Jun-20,17,383,0,8,9,149
23-Jun-20,19,402,1,9,16,165
24-Jun-20,59,461,0,9,11,176
25-Jun-20,41,502,0,9,11,187
26-Jun-20,32,534,0,9,16,203
27-Jun-20,85,619,1,10,18,221
28-Jun-20,29,648,1,11,31,252
29-Jun-20,42,690,0,11,10,262
30-Jun-20,24,714,1,12,10,272
01-Jul-20,25,739,0,12,29,301
02-Jul-20,63,802,0,12,30,331
03-Jul-20,22,824,1,13,53,384
04-Jul-20,80,904,1,14,21,405
05-Jul-20,42,946,0,14,43,448
06-Jul-20,65,1011,0,14,32,480
07-Jul-20,32,1043,0,14,37,517
08-Jul-20,110,1153,0,14,67,584
09-Jul-20,49,1202,2,16,35,619
10-Jul-20,72,1274,1,17,18,637
11-Jul-20,65,1339,1,18,53,690
