Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,1,1,0,0,0,0
15-Mar-20,0,1,0,0,0,0
16-Mar-20,0,1,0,0,0,0
17-Mar-20,0,1,0,0,0,0
18-Mar-20,1,2,0,0,0,0
19-Mar-20,0,2,1,1,0,0
20-Mar-20,1,3,0,1,0,0
21-Mar-20,10,13,0,1,0,0
22-Mar-20,8,21,0,1,0,0
23-Mar-20,2,23,0,1,0,0
24-Mar-20,6,29,0,1,0,0
25-Mar-20,2,31,0,1,0,0
26-Mar-20,2,33,0,1,0,0
27-Mar-20,5,38,0,1,1,1
28-Mar-20,0,38,0,1,0,1
29-Mar-20,0,38,0,1,0,1
30-Mar-20,3,41,2,3,0,1
31-Mar-20,1,42,1,4,0,1
01-Apr-20,4,46,0,4,0,1
02-Apr-20,1,47,1,5,0,1
03-Apr-20,6,53,0,5,0,1
04-Apr-20,12,65,0,5,2,3
05-Apr-20,3,68,2,7,1,4
06-Apr-20,11,79,0,7,0,4
07-Apr-20,20,99,1,8,10,14
08-Apr-20,7,106,1,9,0,14
09-Apr-20,24,130,1,10,4,18
10-Apr-20,21,151,1,11,2,20
11-Apr-20,7,158,1,12,0,20
12-Apr-20,12,170,0,12,3,23
13-Apr-20,6,176,0,12,2,25
14-Apr-20,8,184,1,13,2,27
15-Apr-20,2,186,0,13,0,27
16-Apr-20,11,197,1,14,2,29
17-Apr-20,14,211,0,14,1,30
18-Apr-20,23,234,2,16,1,31
19-Apr-20,10,244,0,16,6,37
20-Apr-20,1,245,0,16,1,38
21-Apr-20,6,251,0,16,11,49
22-Apr-20,27,278,0,16,4,53
23-Apr-20,5,283,1,17,13,66
24-Apr-20,15,298,0,17,4,70
25-Apr-20,10,308,0,17,2,72
26-Apr-20,14,322,1,18,12,84
27-Apr-20,8,330,1,19,14,98
28-Apr-20,12,342,0,19,3,101
29-Apr-20,33,375,0,19,0,101
30-Apr-20,105,480,1,20,3,104
