Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,1,0,0,0,0
15-Mar-20,0,1,0,0,0,0
16-Mar-20,0,1,0,0,0,0
17-Mar-20,0,1,0,0,0,0
18-Mar-20,0,1,0,0,0,0
19-Mar-20,0,1,0,0,0,0
20-Mar-20,0,1,0,0,0,0
21-Mar-20,0,1,0,0,0,0
22-Mar-20,1,2,0,0,0,0
23-Mar-20,0,2,0,0,0,0
24-Mar-20,0,2,0,0,0,0
25-Mar-20,0,2,0,0,0,0
26-Mar-20,0,2,0,0,0,0
27-Mar-20,0,2,0,0,0,0
28-Mar-20,0,2,0,0,0,0
29-Mar-20,0,2,0,0,0,0
30-Mar-20,0,2,0,0,0,0
31-Mar-20,1,3,0,0,0,0
01-Apr-20,0,3,0,0,0,0
02-Apr-20,0,3,0,0,0,0
03-Apr-20,2,5,0,0,0,0
04-Apr-20,3,8,0,0,0,0
05-Apr-20,0,8,0,0,0,0
06-Apr-20,1,9,0,0,0,0
07-Apr-20,1,10,0,0,0,0
08-Apr-20,0,10,0,0,0,0
09-Apr-20,1,11,0,0,0,0
10-Apr-20,0,11,0,0,0,0
11-Apr-20,0,11,0,0,0,0
12-Apr-20,0,11,0,0,0,0
13-Apr-20,0,11,0,0,0,0
14-Apr-20,0,11,0,0,0,0
15-Apr-20,0,11,0,0,0,0
16-Apr-20,0,11,0,0,0,0
17-Apr-20,0,11,0,0,0,0
18-Apr-20,0,11,0,0,0,0
19-Apr-20,0,11,0,0,0,0
20-Apr-20,0,11,0,0,0,0
21-Apr-20,0,11,0,0,0,0
22-Apr-20,3,14,2,2,1,1
23-Apr-20,0,14,0,2,0,1
24-Apr-20,0,14,0,2,0,1
25-Apr-20,0,14,0,2,0,1
26-Apr-20,0,14,0,2,0,1
27-Apr-20,0,14,0,2,5,6
28-Apr-20,0,14,0,2,0,6
29-Apr-20,0,14,0,2,0,6
30-Apr-20,28,42,0,2,0,6
01-May-20,48,90,0,2,2,8
02-May-20,53,143,0,2,0,8
03-May-20,75,218,0,2,0,8
04-May-20,0,218,0,2,0,8
05-May-20,0,218,1,3,0,8
06-May-20,13,231,0,3,0,8
07-May-20,46,277,0,3,0,8
08-May-20,11,288,0,3,0,8
09-May-20,0,288,0,3,0,8
10-May-20,8,296,0,3,0,8
11-May-20,1,297,0,3,0,8
12-May-20,0,297,1,4,0,8
13-May-20,0,297,0,4,26,34
14-May-20,0,297,0,4,0,34
15-May-20,0,297,0,4,0,34
