Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,1.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,2.0,3,0.0,0,0.0,0
25-Mar-20,1.0,4,0.0,0,0.0,0
26-Mar-20,0.0,4,0.0,0,0.0,0
27-Mar-20,0.0,4,0.0,0,0.0,0
28-Mar-20,0.0,4,0.0,0,0.0,0
29-Mar-20,0.0,4,0.0,0,0.0,0
30-Mar-20,2.0,6,0.0,0,0.0,0
31-Mar-20,0.0,6,0.0,0,0.0,0
01-Apr-20,0.0,6,0.0,0,0.0,0
02-Apr-20,1.0,7,0.0,0,0.0,0
03-Apr-20,0.0,7,0.0,0,0.0,0
04-Apr-20,0.0,7,0.0,0,0.0,0
05-Apr-20,0.0,7,0.0,0,0.0,0
06-Apr-20,0.0,7,0.0,0,0.0,0
07-Apr-20,0.0,7,0.0,0,0.0,0
08-Apr-20,0.0,7,0.0,0,0.0,0
09-Apr-20,0.0,7,0.0,0,0.0,0
10-Apr-20,0.0,7,0.0,0,0.0,0
11-Apr-20,0.0,7,0.0,0,0.0,0
12-Apr-20,0.0,7,0.0,0,0.0,0
13-Apr-20,0.0,7,0.0,0,0.0,0
14-Apr-20,0.0,7,0.0,0,0.0,0
15-Apr-20,0.0,7,0.0,0,0.0,0
16-Apr-20,0.0,7,0.0,0,0.0,0
17-Apr-20,0.0,7,0.0,0,0.0,0
18-Apr-20,0.0,7,0.0,0,0.0,0
19-Apr-20,0.0,7,0.0,0,0.0,0
20-Apr-20,0.0,7,0.0,0,0.0,0
21-Apr-20,0.0,7,0.0,0,0.0,0
22-Apr-20,0.0,7,1.0,1,4.0,4
23-Apr-20,0.0,7,0.0,1,0.0,4
24-Apr-20,0.0,7,0.0,1,1.0,5
25-Apr-20,0.0,7,0.0,1,0.0,5
26-Apr-20,0.0,7,0.0,1,0.0,5
27-Apr-20,0.0,7,0.0,1,0.0,5
28-Apr-20,1.0,8,0.0,1,0.0,5
29-Apr-20,3.0,11,0.0,1,0.0,5
30-Apr-20,0.0,11,0.0,1,0.0,5
01-May-20,0.0,11,0.0,1,0.0,5
02-May-20,31.0,42,0.0,1,1.0,6
03-May-20,46.0,88,0.0,1,0.0,6
04-May-20,0.0,88,0.0,1,0.0,6
05-May-20,0.0,88,1.0,2,0.0,6
06-May-20,1.0,89,0.0,2,0.0,6
07-May-20,0.0,89,1.0,3,0.0,6
08-May-20,0.0,89,0.0,3,0.0,6
09-May-20,1.0,90,1.0,4,0.0,6
10-May-20,0.0,90,0.0,4,0.0,6
11-May-20,1.0,91,0.0,4,0.0,6
12-May-20,0.0,91,0.0,4,0.0,6
13-May-20,1.0,92,0.0,4,0.0,6
14-May-20,0.0,92,0.0,4,0.0,6
15-May-20,0.0,92,0.0,4,0.0,6
