Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,3.0,3,0.0,0,0.0,0
25-Mar-20,0.0,3,0.0,0,0.0,0
26-Mar-20,1.0,4,0.0,0,0.0,0
27-Mar-20,1.0,5,0.0,0,0.0,0
28-Mar-20,0.0,5,0.0,0,0.0,0
29-Mar-20,0.0,5,0.0,0,0.0,0
30-Mar-20,0.0,5,0.0,0,0.0,0
31-Mar-20,0.0,5,0.0,0,0.0,0
01-Apr-20,0.0,5,0.0,0,0.0,0
02-Apr-20,0.0,5,0.0,0,0.0,0
03-Apr-20,0.0,5,0.0,0,0.0,0
04-Apr-20,1.0,6,0.0,0,0.0,0
05-Apr-20,0.0,6,0.0,0,0.0,0
06-Apr-20,0.0,6,0.0,0,0.0,0
07-Apr-20,0.0,6,0.0,0,0.0,0
08-Apr-20,2.0,8,0.0,0,0.0,0
09-Apr-20,3.0,11,0.0,0,0.0,0
10-Apr-20,1.0,12,0.0,0,0.0,0
11-Apr-20,3.0,15,0.0,0,0.0,0
12-Apr-20,7.0,22,0.0,0,0.0,0
13-Apr-20,2.0,24,0.0,0,0.0,0
14-Apr-20,1.0,25,0.0,0,0.0,0
15-Apr-20,0.0,25,0.0,0,0.0,0
16-Apr-20,6.0,31,0.0,0,0.0,0
17-Apr-20,4.0,35,0.0,0,0.0,0
18-Apr-20,6.0,41,0.0,0,0.0,0
19-Apr-20,6.0,47,0.0,0,0.0,0
20-Apr-20,0.0,47,0.0,0,0.0,0
21-Apr-20,1.0,48,0.0,0,0.0,0
22-Apr-20,5.0,53,2.0,2,6.0,6
23-Apr-20,6.0,59,0.0,2,0.0,6
24-Apr-20,4.0,63,0.0,2,1.0,7
25-Apr-20,3.0,66,0.0,2,0.0,7
26-Apr-20,12.0,78,1.0,3,0.0,7
27-Apr-20,0.0,78,0.0,3,0.0,7
28-Apr-20,7.0,85,0.0,3,0.0,7
29-Apr-20,1.0,86,0.0,3,0.0,7
30-Apr-20,3.0,89,1.0,4,1.0,8
01-May-20,16.0,105,0.0,4,0.0,8
02-May-20,15.0,120,0.0,4,0.0,8
03-May-20,4.0,124,0.0,4,0.0,8
04-May-20,4.0,128,0.0,4,0.0,8
05-May-20,6.0,134,0.0,4,0.0,8
06-May-20,1.0,135,1.0,5,0.0,8
07-May-20,12.0,147,0.0,5,0.0,8
08-May-20,11.0,158,0.0,5,0.0,8
09-May-20,17.0,175,0.0,5,5.0,13
10-May-20,0.0,175,0.0,5,5.0,18
11-May-20,13.0,188,0.0,5,0.0,18
12-May-20,9.0,197,0.0,5,2.0,20
13-May-20,1.0,198,0.0,5,0.0,20
14-May-20,7.0,205,0.0,5,9.0,29
15-May-20,0.0,205,0.0,5,4.0,33
