Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,1,1,0,0,0,0
26-Mar-20,0,1,0,0,0,0
27-Mar-20,0,1,0,0,0,0
28-Mar-20,0,1,0,0,0,0
29-Mar-20,0,1,0,0,0,0
30-Mar-20,1,2,0,0,0,0
31-Mar-20,0,2,0,0,0,0
01-Apr-20,1,3,0,0,0,0
02-Apr-20,0,3,0,0,0,0
03-Apr-20,1,4,0,0,0,0
04-Apr-20,0,4,0,0,0,0
05-Apr-20,1,5,0,0,0,0
06-Apr-20,1,6,0,0,0,0
07-Apr-20,0,6,0,0,0,0
08-Apr-20,0,6,0,0,0,0
09-Apr-20,4,10,0,0,0,0
10-Apr-20,0,10,0,0,0,0
11-Apr-20,0,10,0,0,0,0
12-Apr-20,0,10,0,0,0,0
13-Apr-20,1,11,0,0,0,0
14-Apr-20,0,11,0,0,0,0
15-Apr-20,0,11,0,0,0,0
16-Apr-20,0,11,0,0,0,0
17-Apr-20,4,15,0,0,0,0
18-Apr-20,0,15,0,0,0,0
19-Apr-20,0,15,0,0,0,0
20-Apr-20,0,15,0,0,0,0
21-Apr-20,0,15,0,0,0,0
22-Apr-20,1,16,4,4,3,3
23-Apr-20,0,16,0,4,0,3
24-Apr-20,1,17,0,4,0,3
25-Apr-20,0,17,0,4,0,3
26-Apr-20,1,18,0,4,3,6
27-Apr-20,0,18,0,4,0,6
28-Apr-20,0,18,0,4,0,6
29-Apr-20,11,29,0,4,0,6
30-Apr-20,34,63,0,4,0,6
01-May-20,13,76,0,4,0,6
02-May-20,21,97,0,4,0,6
03-May-20,13,110,0,4,0,6
04-May-20,0,110,1,5,0,6
05-May-20,14,124,0,5,0,6
06-May-20,0,124,0,5,2,8
07-May-20,1,125,0,5,0,8
08-May-20,0,125,0,5,0,8
09-May-20,0,125,1,6,0,8
10-May-20,0,125,0,6,0,8
11-May-20,2,127,0,6,0,8
12-May-20,16,143,0,6,0,8
13-May-20,5,148,0,6,0,8
14-May-20,3,151,0,6,0,8
15-May-20,0,151,0,6,0,8
