Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,0,0,0,0,0,0
04-Apr-20,1,1,0,0,0,0
05-Apr-20,0,1,1,1,0,0
06-Apr-20,0,1,0,1,0,0
07-Apr-20,6,7,0,1,0,0
08-Apr-20,0,7,0,1,0,0
09-Apr-20,0,7,0,1,0,0
10-Apr-20,8,15,0,1,0,0
11-Apr-20,1,16,0,1,0,0
12-Apr-20,0,16,0,1,0,0
13-Apr-20,2,18,0,1,0,0
14-Apr-20,4,22,0,1,0,0
15-Apr-20,0,22,0,1,0,0
16-Apr-20,2,24,0,1,0,0
17-Apr-20,0,24,0,1,0,0
18-Apr-20,0,24,0,1,0,0
19-Apr-20,0,24,0,1,0,0
20-Apr-20,0,24,0,1,0,0
21-Apr-20,0,24,0,1,0,0
22-Apr-20,0,24,0,1,0,0
23-Apr-20,0,24,0,1,0,0
24-Apr-20,0,24,0,1,0,0
25-Apr-20,1,25,0,1,0,0
26-Apr-20,0,25,0,1,9,9
27-Apr-20,0,25,0,1,0,9
28-Apr-20,0,25,0,1,0,9
29-Apr-20,0,25,0,1,0,9
30-Apr-20,0,25,0,1,0,9
01-May-20,0,25,0,1,0,9
02-May-20,0,25,0,1,0,9
03-May-20,0,25,0,1,0,9
04-May-20,2,27,0,1,0,9
05-May-20,0,27,0,1,1,10
06-May-20,0,27,0,1,0,10
07-May-20,0,27,0,1,0,10
08-May-20,0,27,0,1,0,10
09-May-20,2,29,0,1,0,10
10-May-20,0,29,0,1,1,11
11-May-20,0,29,0,1,0,11
12-May-20,0,29,0,1,0,11
13-May-20,0,29,0,1,0,11
14-May-20,0,29,0,1,3,14
15-May-20,0,29,0,1,0,14
