Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,1.0,1,0.0,0,0.0,0
21-Mar-20,3.0,4,0.0,0,0.0,0
22-Mar-20,0.0,4,0.0,0,0.0,0
23-Mar-20,1.0,5,0.0,0,0.0,0
24-Mar-20,1.0,6,0.0,0,0.0,0
25-Mar-20,0.0,6,0.0,0,0.0,0
26-Mar-20,0.0,6,0.0,0,0.0,0
27-Mar-20,1.0,7,0.0,0,0.0,0
28-Mar-20,0.0,7,0.0,0,0.0,0
29-Mar-20,0.0,7,0.0,0,0.0,0
30-Mar-20,0.0,7,0.0,0,0.0,0
31-Mar-20,0.0,7,0.0,0,0.0,0
01-Apr-20,3.0,10,0.0,0,0.0,0
02-Apr-20,0.0,10,0.0,0,0.0,0
03-Apr-20,2.0,12,0.0,0,0.0,0
04-Apr-20,2.0,14,0.0,0,0.0,0
05-Apr-20,1.0,15,0.0,0,0.0,0
06-Apr-20,4.0,19,0.0,0,0.0,0
07-Apr-20,7.0,26,0.0,0,0.0,0
08-Apr-20,4.0,30,0.0,0,0.0,0
09-Apr-20,7.0,37,0.0,0,0.0,0
10-Apr-20,11.0,48,0.0,0,0.0,0
11-Apr-20,2.0,50,0.0,0,0.0,0
12-Apr-20,3.0,53,0.0,0,0.0,0
13-Apr-20,1.0,54,0.0,0,0.0,0
14-Apr-20,2.0,56,0.0,0,0.0,0
15-Apr-20,0.0,56,0.0,0,0.0,0
16-Apr-20,0.0,56,0.0,0,0.0,0
17-Apr-20,0.0,56,0.0,0,0.0,0
18-Apr-20,1.0,57,0.0,0,0.0,0
19-Apr-20,4.0,61,0.0,0,0.0,0
20-Apr-20,0.0,61,0.0,0,0.0,0
21-Apr-20,1.0,62,0.0,0,0.0,0
22-Apr-20,0.0,62,2.0,2,14.0,14
23-Apr-20,0.0,62,0.0,2,0.0,14
24-Apr-20,1.0,63,0.0,2,0.0,14
25-Apr-20,0.0,63,0.0,2,0.0,14
26-Apr-20,0.0,63,0.0,2,8.0,22
27-Apr-20,0.0,63,0.0,2,6.0,28
28-Apr-20,2.0,65,0.0,2,3.0,31
29-Apr-20,8.0,73,0.0,2,0.0,31
30-Apr-20,13.0,86,0.0,2,0.0,31
01-May-20,6.0,92,0.0,2,0.0,31
02-May-20,2.0,94,0.0,2,3.0,34
03-May-20,1.0,95,0.0,2,2.0,36
04-May-20,0.0,95,0.0,2,7.0,43
05-May-20,0.0,95,0.0,2,0.0,43
06-May-20,0.0,95,0.0,2,0.0,43
07-May-20,0.0,95,0.0,2,6.0,49
08-May-20,0.0,95,1.0,3,3.0,52
09-May-20,0.0,95,0.0,3,0.0,52
10-May-20,7.0,102,0.0,3,2.0,54
11-May-20,0.0,102,0.0,3,0.0,54
12-May-20,0.0,102,0.0,3,1.0,55
13-May-20,0.0,102,0.0,3,2.0,57
14-May-20,0.0,102,0.0,3,0.0,57
15-May-20,0.0,102,0.0,3,3.0,60
