Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,1,1,1,1,0,0
20-Mar-20,0,1,0,1,0,0
21-Mar-20,6,7,0,1,0,0
22-Mar-20,7,14,0,1,0,0
23-Mar-20,1,15,0,1,0,0
24-Mar-20,0,15,0,1,0,0
25-Mar-20,0,15,0,1,0,0
26-Mar-20,1,16,0,1,0,0
27-Mar-20,3,19,0,1,0,0
28-Mar-20,0,19,0,1,0,0
29-Mar-20,0,19,0,1,0,0
30-Mar-20,0,19,0,1,0,0
31-Mar-20,0,19,0,1,0,0
01-Apr-20,0,19,0,1,0,0
02-Apr-20,0,19,0,1,0,0
03-Apr-20,0,19,0,1,0,0
04-Apr-20,0,19,0,1,0,0
05-Apr-20,0,19,0,1,0,0
06-Apr-20,0,19,0,1,0,0
07-Apr-20,0,19,0,1,0,0
08-Apr-20,0,19,0,1,0,0
09-Apr-20,0,19,0,1,0,0
10-Apr-20,0,19,0,1,0,0
11-Apr-20,0,19,0,1,0,0
12-Apr-20,0,19,0,1,0,0
13-Apr-20,0,19,0,1,0,0
14-Apr-20,0,19,0,1,0,0
15-Apr-20,0,19,0,1,0,0
16-Apr-20,0,19,0,1,0,0
17-Apr-20,0,19,0,1,0,0
18-Apr-20,0,19,0,1,0,0
19-Apr-20,0,19,0,1,0,0
20-Apr-20,0,19,0,1,0,0
21-Apr-20,0,19,0,1,0,0
22-Apr-20,0,19,0,1,18,18
23-Apr-20,0,19,0,1,0,18
24-Apr-20,0,19,0,1,0,18
25-Apr-20,0,19,0,1,0,18
26-Apr-20,1,20,0,1,0,18
27-Apr-20,0,20,0,1,0,18
28-Apr-20,0,20,0,1,0,18
29-Apr-20,2,22,0,1,0,18
30-Apr-20,1,23,0,1,0,18
01-May-20,0,23,0,1,0,18
02-May-20,0,23,0,1,0,18
03-May-20,62,85,0,1,0,18
04-May-20,0,85,0,1,0,18
05-May-20,0,85,0,1,0,18
06-May-20,1,86,0,1,0,18
07-May-20,0,86,0,1,0,18
08-May-20,18,104,0,1,0,18
09-May-20,0,104,0,1,0,18
10-May-20,0,104,0,1,0,18
11-May-20,0,104,0,1,0,18
12-May-20,0,104,0,1,0,18
13-May-20,0,104,0,1,0,18
14-May-20,0,104,0,1,0,18
15-May-20,0,104,0,1,0,18
