Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,3,3,0,0,1,1
15-Mar-20,1,4,0,0,2,3
16-Mar-20,0,4,0,0,0,3
17-Mar-20,0,4,0,0,0,3
18-Mar-20,3,7,0,0,0,3
19-Mar-20,2,9,0,0,0,3
20-Mar-20,8,17,0,0,0,3
21-Mar-20,7,24,0,0,0,3
22-Mar-20,4,28,0,0,0,3
23-Mar-20,4,32,0,0,0,3
24-Mar-20,0,32,0,0,0,3
25-Mar-20,6,38,0,0,0,3
26-Mar-20,2,40,0,0,0,3
27-Mar-20,10,50,0,0,0,3
28-Mar-20,4,54,0,0,0,3
29-Mar-20,5,59,0,0,0,3
30-Mar-20,20,79,0,0,0,3
31-Mar-20,14,93,0,0,0,3
01-Apr-20,27,120,0,0,0,3
02-Apr-20,13,133,0,0,0,3
03-Apr-20,46,179,0,0,0,3
04-Apr-20,27,206,1,1,22,25
05-Apr-20,60,266,0,1,0,25
06-Apr-20,35,301,1,2,0,25
07-Apr-20,42,343,0,2,0,25
08-Apr-20,40,383,1,3,20,45
09-Apr-20,80,463,0,3,15,60
10-Apr-20,98,561,0,3,0,60
11-Apr-20,139,700,6,9,56,116
