Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,1.0,1,0.0,0,0.0,0
29-Mar-20,3.0,4,0.0,0,0.0,0
30-Mar-20,0.0,4,0.0,0,0.0,0
31-Mar-20,1.0,5,0.0,0,0.0,0
01-Apr-20,0.0,5,0.0,0,0.0,0
02-Apr-20,0.0,5,0.0,0,0.0,0
03-Apr-20,0.0,5,0.0,0,0.0,0
04-Apr-20,0.0,5,0.0,0,0.0,0
05-Apr-20,0.0,5,0.0,0,0.0,0
06-Apr-20,0.0,5,0.0,0,0.0,0
07-Apr-20,0.0,5,0.0,0,0.0,0
08-Apr-20,0.0,5,0.0,0,0.0,0
09-Apr-20,0.0,5,0.0,0,0.0,0
10-Apr-20,0.0,5,0.0,0,0.0,0
11-Apr-20,0.0,5,0.0,0,0.0,0
12-Apr-20,0.0,5,0.0,0,0.0,0
13-Apr-20,0.0,5,0.0,0,0.0,0
14-Apr-20,0.0,5,0.0,0,0.0,0
15-Apr-20,0.0,5,0.0,0,0.0,0
16-Apr-20,1.0,6,0.0,0,0.0,0
17-Apr-20,9.0,15,0.0,0,0.0,0
18-Apr-20,3.0,18,0.0,0,0.0,0
19-Apr-20,5.0,23,0.0,0,0.0,0
20-Apr-20,0.0,23,0.0,0,0.0,0
21-Apr-20,36.0,59,0.0,0,5.0,5
22-Apr-20,44.0,103,0.0,0,0.0,5
23-Apr-20,3.0,106,0.0,0,0.0,5
24-Apr-20,0.0,106,0.0,0,0.0,5
25-Apr-20,6.0,112,0.0,0,0.0,5
26-Apr-20,11.0,123,0.0,0,0.0,5
27-Apr-20,1.0,124,0.0,0,0.0,5
28-Apr-20,11.0,135,0.0,0,0.0,5
29-Apr-20,11.0,146,0.0,0,8.0,13
30-Apr-20,4.0,150,0.0,0,0.0,13
01-May-20,11.0,161,0.0,0,1.0,14
02-May-20,4.0,165,1.0,1,0.0,14
03-May-20,3.0,168,0.0,1,26.0,40
04-May-20,4.0,172,0.0,1,0.0,40
05-May-20,5.0,177,0.0,1,0.0,40
06-May-20,5.0,182,0.0,1,10.0,50
07-May-20,5.0,187,1.0,2,1.0,51
08-May-20,9.0,196,2.0,4,12.0,63
09-May-20,15.0,211,0.0,4,5.0,68
10-May-20,9.0,220,0.0,4,0.0,68
11-May-20,12.0,232,1.0,5,12.0,80
12-May-20,3.0,235,0.0,5,23.0,103
13-May-20,0.0,235,0.0,5,5.0,108
14-May-20,7.0,242,0.0,5,2.0,110
15-May-20,5.0,247,0.0,5,12.0,122
