Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,2.0,2,0.0,0,0.0,0
05-Apr-20,0.0,2,0.0,0,0.0,0
06-Apr-20,0.0,2,0.0,0,0.0,0
07-Apr-20,7.0,9,0.0,0,0.0,0
08-Apr-20,1.0,10,0.0,0,0.0,0
09-Apr-20,2.0,12,0.0,0,0.0,0
10-Apr-20,12.0,24,0.0,0,0.0,0
11-Apr-20,13.0,37,0.0,0,0.0,0
12-Apr-20,15.0,52,0.0,0,0.0,0
13-Apr-20,7.0,59,0.0,0,0.0,0
14-Apr-20,0.0,59,0.0,0,0.0,0
15-Apr-20,0.0,59,0.0,0,0.0,0
16-Apr-20,0.0,59,0.0,0,0.0,0
17-Apr-20,0.0,59,0.0,0,0.0,0
18-Apr-20,1.0,60,0.0,0,0.0,0
19-Apr-20,0.0,60,0.0,0,0.0,0
20-Apr-20,0.0,60,0.0,0,0.0,0
21-Apr-20,1.0,61,0.0,0,5.0,5
22-Apr-20,0.0,61,0.0,0,0.0,5
23-Apr-20,0.0,61,0.0,0,0.0,5
24-Apr-20,0.0,61,0.0,0,11.0,16
25-Apr-20,0.0,61,0.0,0,5.0,21
26-Apr-20,1.0,62,0.0,0,0.0,21
27-Apr-20,0.0,62,0.0,0,10.0,31
28-Apr-20,1.0,63,0.0,0,0.0,31
29-Apr-20,1.0,64,0.0,0,0.0,31
30-Apr-20,2.0,66,0.0,0,0.0,31
01-May-20,0.0,66,0.0,0,10.0,41
02-May-20,0.0,66,0.0,0,0.0,41
03-May-20,0.0,66,0.0,0,10.0,51
04-May-20,0.0,66,0.0,0,0.0,51
05-May-20,0.0,66,0.0,0,7.0,58
06-May-20,0.0,66,0.0,0,0.0,58
07-May-20,0.0,66,0.0,0,0.0,58
08-May-20,0.0,66,0.0,0,0.0,58
09-May-20,0.0,66,0.0,0,0.0,58
10-May-20,0.0,66,1.0,1,4.0,62
11-May-20,0.0,66,0.0,1,0.0,62
12-May-20,0.0,66,0.0,1,1.0,63
13-May-20,2.0,68,0.0,1,0.0,63
14-May-20,0.0,68,0.0,1,0.0,63
15-May-20,0.0,68,0.0,1,2.0,65
