Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,1.0,1,0.0,0,0.0,0
03-Apr-20,2.0,3,0.0,0,0.0,0
04-Apr-20,2.0,5,0.0,0,0.0,0
05-Apr-20,0.0,5,0.0,0,0.0,0
06-Apr-20,0.0,5,0.0,0,0.0,0
07-Apr-20,3.0,8,0.0,0,0.0,0
08-Apr-20,0.0,8,0.0,0,0.0,0
09-Apr-20,0.0,8,0.0,0,0.0,0
10-Apr-20,1.0,9,0.0,0,0.0,0
11-Apr-20,0.0,9,0.0,0,0.0,0
12-Apr-20,0.0,9,0.0,0,0.0,0
13-Apr-20,11.0,20,0.0,0,0.0,0
14-Apr-20,0.0,20,0.0,0,0.0,0
15-Apr-20,0.0,20,0.0,0,0.0,0
16-Apr-20,23.0,43,0.0,0,0.0,0
17-Apr-20,0.0,43,0.0,0,0.0,0
18-Apr-20,42.0,85,0.0,0,0.0,0
19-Apr-20,17.0,102,0.0,0,0.0,0
20-Apr-20,0.0,102,0.0,0,0.0,0
21-Apr-20,0.0,102,0.0,0,1.0,1
22-Apr-20,1.0,103,1.0,1,0.0,1
23-Apr-20,3.0,106,0.0,1,0.0,1
24-Apr-20,1.0,107,0.0,1,4.0,5
25-Apr-20,2.0,109,0.0,1,0.0,5
26-Apr-20,1.0,110,0.0,1,0.0,5
27-Apr-20,0.0,110,1.0,2,0.0,5
28-Apr-20,0.0,110,0.0,2,0.0,5
29-Apr-20,1.0,111,0.0,2,1.0,6
30-Apr-20,0.0,111,0.0,2,0.0,6
01-May-20,0.0,111,0.0,2,80.0,86
02-May-20,1.0,112,0.0,2,1.0,87
03-May-20,2.0,114,0.0,2,0.0,87
04-May-20,0.0,114,0.0,2,16.0,103
05-May-20,1.0,115,0.0,2,2.0,105
06-May-20,1.0,116,0.0,2,0.0,105
07-May-20,0.0,116,0.0,2,0.0,105
08-May-20,0.0,116,0.0,2,0.0,105
09-May-20,0.0,116,0.0,2,0.0,105
10-May-20,0.0,116,0.0,2,2.0,107
11-May-20,3.0,119,0.0,2,0.0,107
12-May-20,0.0,119,0.0,2,7.0,114
13-May-20,2.0,121,0.0,2,0.0,114
14-May-20,0.0,121,0.0,2,0.0,114
15-May-20,1.0,122,0.0,2,0.0,114
