Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,2,0.0,0,0.0,1
15-Mar-20,0.0,2,0.0,0,0.0,1
16-Mar-20,0.0,2,0.0,0,0.0,1
17-Mar-20,0.0,2,0.0,0,0.0,1
18-Mar-20,0.0,2,0.0,0,0.0,1
19-Mar-20,2.0,4,0.0,0,0.0,1
20-Mar-20,2.0,6,0.0,0,0.0,1
21-Mar-20,0.0,6,0.0,0,0.0,1
22-Mar-20,0.0,6,0.0,0,0.0,1
23-Mar-20,0.0,6,0.0,0,0.0,1
24-Mar-20,0.0,6,0.0,0,0.0,1
25-Mar-20,0.0,6,0.0,0,0.0,1
26-Mar-20,1.0,7,0.0,0,0.0,1
27-Mar-20,1.0,8,0.0,0,0.0,1
28-Mar-20,0.0,8,0.0,0,0.0,1
29-Mar-20,0.0,8,0.0,0,0.0,1
30-Mar-20,10.0,18,0.0,0,0.0,1
31-Mar-20,1.0,19,0.0,0,0.0,1
01-Apr-20,13.0,32,0.0,0,0.0,1
02-Apr-20,7.0,39,0.0,0,0.0,1
03-Apr-20,14.0,53,0.0,0,0.0,1
04-Apr-20,0.0,53,0.0,0,0.0,1
05-Apr-20,39.0,92,0.0,0,0.0,1
06-Apr-20,8.0,100,0.0,0,0.0,1
07-Apr-20,6.0,106,0.0,0,0.0,1
08-Apr-20,23.0,129,0.0,0,0.0,1
09-Apr-20,39.0,168,0.0,0,0.0,1
10-Apr-20,53.0,221,0.0,0,0.0,1
11-Apr-20,80.0,301,0.0,0,0.0,1
12-Apr-20,40.0,341,0.0,0,0.0,1
13-Apr-20,29.0,370,0.0,0,0.0,1
14-Apr-20,83.0,453,0.0,0,0.0,1
15-Apr-20,30.0,483,0.0,0,0.0,1
16-Apr-20,3.0,486,0.0,0,0.0,1
17-Apr-20,8.0,494,0.0,0,0.0,1
18-Apr-20,25.0,519,0.0,0,0.0,1
19-Apr-20,16.0,535,0.0,0,0.0,1
20-Apr-20,0.0,535,0.0,0,0.0,1
21-Apr-20,122.0,657,14.0,14,29.0,30
22-Apr-20,68.0,725,0.0,14,22.0,52
23-Apr-20,15.0,740,0.0,14,0.0,52
24-Apr-20,36.0,776,1.0,15,80.0,132
25-Apr-20,16.0,792,4.0,19,1.0,133
26-Apr-20,16.0,808,2.0,21,89.0,222
27-Apr-20,25.0,833,6.0,27,22.0,244
28-Apr-20,26.0,859,0.0,27,0.0,244
29-Apr-20,22.0,881,3.0,30,39.0,283
30-Apr-20,26.0,907,2.0,32,38.0,321
01-May-20,21.0,928,2.0,34,29.0,350
02-May-20,33.0,961,4.0,38,12.0,362
03-May-20,32.0,993,2.0,40,38.0,400
04-May-20,29.0,1022,4.0,44,46.0,446
05-May-20,25.0,1047,6.0,50,0.0,446
06-May-20,43.0,1090,1.0,51,158.0,604
07-May-20,21.0,1111,2.0,53,73.0,677
08-May-20,34.0,1145,1.0,54,43.0,720
09-May-20,51.0,1196,2.0,56,52.0,772
10-May-20,23.0,1219,1.0,57,0.0,772
11-May-20,28.0,1247,2.0,59,21.0,793
12-May-20,34.0,1281,1.0,60,33.0,826
13-May-20,61.0,1342,2.0,62,4.0,830
14-May-20,20.0,1362,1.0,63,20.0,850
15-May-20,23.0,1385,0.0,63,30.0,880
