Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,0.0,0,0.0,0,0.0,0
06-Apr-20,0.0,0,0.0,0,0.0,0
07-Apr-20,0.0,0,0.0,0,0.0,0
08-Apr-20,2.0,2,0.0,0,0.0,0
09-Apr-20,7.0,9,0.0,0,0.0,0
10-Apr-20,3.0,12,0.0,0,0.0,0
11-Apr-20,2.0,14,0.0,0,0.0,0
12-Apr-20,0.0,14,0.0,0,0.0,0
13-Apr-20,1.0,15,0.0,0,0.0,0
14-Apr-20,2.0,17,0.0,0,0.0,0
15-Apr-20,0.0,17,0.0,0,0.0,0
16-Apr-20,0.0,17,0.0,0,0.0,0
17-Apr-20,1.0,18,0.0,0,0.0,0
18-Apr-20,0.0,18,0.0,0,0.0,0
19-Apr-20,2.0,20,0.0,0,0.0,0
20-Apr-20,0.0,20,0.0,0,0.0,0
21-Apr-20,0.0,20,0.0,0,11.0,11
22-Apr-20,0.0,20,0.0,0,1.0,12
23-Apr-20,0.0,20,0.0,0,0.0,12
24-Apr-20,4.0,24,0.0,0,2.0,14
25-Apr-20,5.0,29,0.0,0,2.0,16
26-Apr-20,1.0,30,0.0,0,0.0,16
27-Apr-20,10.0,40,0.0,0,0.0,16
28-Apr-20,0.0,40,0.0,0,0.0,16
29-Apr-20,0.0,40,0.0,0,4.0,20
30-Apr-20,0.0,40,0.0,0,0.0,20
01-May-20,0.0,40,0.0,0,8.0,28
02-May-20,0.0,40,0.0,0,0.0,28
03-May-20,0.0,40,0.0,0,0.0,28
04-May-20,1.0,41,0.0,0,0.0,28
05-May-20,1.0,42,0.0,0,10.0,38
06-May-20,3.0,45,0.0,0,1.0,39
07-May-20,0.0,45,0.0,0,0.0,39
08-May-20,2.0,47,0.0,0,0.0,39
09-May-20,0.0,47,0.0,0,2.0,41
10-May-20,0.0,47,0.0,0,0.0,41
11-May-20,0.0,47,0.0,0,0.0,41
12-May-20,0.0,47,0.0,0,0.0,41
13-May-20,0.0,47,0.0,0,4.0,45
14-May-20,0.0,47,0.0,0,2.0,47
15-May-20,1.0,48,0.0,0,0.0,47
