Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,0.0,0,0.0,0,0.0,0
06-Apr-20,10.0,10,0.0,0,0.0,0
07-Apr-20,0.0,10,0.0,0,0.0,0
08-Apr-20,5.0,15,0.0,0,0.0,0
09-Apr-20,2.0,17,0.0,0,0.0,0
10-Apr-20,2.0,19,0.0,0,0.0,0
11-Apr-20,14.0,33,0.0,0,0.0,0
12-Apr-20,7.0,40,0.0,0,0.0,0
13-Apr-20,9.0,49,0.0,0,0.0,0
14-Apr-20,8.0,57,0.0,0,0.0,0
15-Apr-20,27.0,84,0.0,0,0.0,0
16-Apr-20,2.0,86,0.0,0,0.0,0
17-Apr-20,6.0,92,0.0,0,0.0,0
18-Apr-20,5.0,97,0.0,0,0.0,0
19-Apr-20,2.0,99,0.0,0,0.0,0
20-Apr-20,0.0,99,0.0,0,0.0,0
21-Apr-20,9.0,108,3.0,3,41.0,41
22-Apr-20,6.0,114,0.0,3,14.0,55
23-Apr-20,8.0,122,0.0,3,0.0,55
24-Apr-20,22.0,144,0.0,3,5.0,60
25-Apr-20,5.0,149,1.0,4,20.0,80
26-Apr-20,9.0,158,0.0,4,0.0,80
27-Apr-20,7.0,165,1.0,5,18.0,98
28-Apr-20,24.0,189,2.0,7,0.0,98
29-Apr-20,3.0,192,0.0,7,0.0,98
30-Apr-20,5.0,197,0.0,7,11.0,109
01-May-20,7.0,204,0.0,7,16.0,125
02-May-20,3.0,207,0.0,7,1.0,126
03-May-20,2.0,209,0.0,7,25.0,151
04-May-20,3.0,212,0.0,7,5.0,156
05-May-20,9.0,221,3.0,10,2.0,158
06-May-20,0.0,221,0.0,10,1.0,159
07-May-20,2.0,223,1.0,11,0.0,159
08-May-20,9.0,232,0.0,11,0.0,159
09-May-20,1.0,233,0.0,11,24.0,183
10-May-20,17.0,250,0.0,11,0.0,183
11-May-20,9.0,259,0.0,11,0.0,183
12-May-20,5.0,264,0.0,11,18.0,201
13-May-20,5.0,269,0.0,11,0.0,201
14-May-20,1.0,270,0.0,11,9.0,210
15-May-20,48.0,318,0.0,11,2.0,212
