Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,1.0,1,0.0,0,0.0,0
06-Apr-20,0.0,1,0.0,0,0.0,0
07-Apr-20,0.0,1,0.0,0,0.0,0
08-Apr-20,0.0,1,0.0,0,0.0,0
09-Apr-20,0.0,1,0.0,0,0.0,0
10-Apr-20,0.0,1,0.0,0,0.0,0
11-Apr-20,0.0,1,0.0,0,0.0,0
12-Apr-20,5.0,6,0.0,0,0.0,0
13-Apr-20,0.0,6,0.0,0,0.0,0
14-Apr-20,0.0,6,0.0,0,0.0,0
15-Apr-20,1.0,7,0.0,0,0.0,0
16-Apr-20,1.0,8,0.0,0,0.0,0
17-Apr-20,6.0,14,0.0,0,0.0,0
18-Apr-20,17.0,31,0.0,0,0.0,0
19-Apr-20,27.0,58,0.0,0,0.0,0
20-Apr-20,0.0,58,0.0,0,0.0,0
21-Apr-20,13.0,71,1.0,1,0.0,0
22-Apr-20,4.0,75,0.0,1,0.0,0
23-Apr-20,18.0,93,0.0,1,0.0,0
24-Apr-20,0.0,93,0.0,1,3.0,3
25-Apr-20,0.0,93,0.0,1,0.0,3
26-Apr-20,20.0,113,0.0,1,4.0,7
27-Apr-20,3.0,116,0.0,1,2.0,9
28-Apr-20,1.0,117,0.0,1,0.0,9
29-Apr-20,1.0,118,0.0,1,0.0,9
30-Apr-20,0.0,118,0.0,1,4.0,13
01-May-20,0.0,118,1.0,2,0.0,13
02-May-20,0.0,118,0.0,2,15.0,28
03-May-20,0.0,118,0.0,2,3.0,31
04-May-20,1.0,119,0.0,2,0.0,31
05-May-20,0.0,119,0.0,2,20.0,51
06-May-20,0.0,119,0.0,2,7.0,58
07-May-20,0.0,119,0.0,2,22.0,80
08-May-20,0.0,119,0.0,2,22.0,102
09-May-20,0.0,119,0.0,2,4.0,106
10-May-20,3.0,122,0.0,2,3.0,109
11-May-20,9.0,131,0.0,2,0.0,109
12-May-20,6.0,137,1.0,3,0.0,109
13-May-20,2.0,139,0.0,3,4.0,113
14-May-20,17.0,156,0.0,3,2.0,115
15-May-20,2.0,158,0.0,3,0.0,115
