Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,1,1,0,0,0,0
23-Mar-20,0,1,0,0,0,0
24-Mar-20,0,1,0,0,0,0
25-Mar-20,0,1,0,0,0,0
26-Mar-20,0,1,0,0,0,0
27-Mar-20,0,1,0,0,0,0
28-Mar-20,0,1,0,0,0,0
29-Mar-20,0,1,0,0,0,0
30-Mar-20,0,1,0,0,0,0
31-Mar-20,0,1,0,0,0,0
01-Apr-20,0,1,0,0,0,0
02-Apr-20,0,1,0,0,0,0
03-Apr-20,0,1,0,0,0,0
04-Apr-20,0,1,0,0,0,0
05-Apr-20,1,2,0,0,0,0
06-Apr-20,0,2,0,0,0,0
07-Apr-20,0,2,0,0,0,0
08-Apr-20,0,2,0,0,0,0
09-Apr-20,0,2,0,0,0,0
10-Apr-20,0,2,0,0,0,0
11-Apr-20,0,2,0,0,0,0
12-Apr-20,0,2,0,0,0,0
13-Apr-20,0,2,0,0,0,0
14-Apr-20,0,2,0,0,0,0
15-Apr-20,0,2,0,0,0,0
16-Apr-20,0,2,0,0,0,0
17-Apr-20,0,2,0,0,0,0
18-Apr-20,0,2,0,0,0,0
19-Apr-20,0,2,0,0,0,0
20-Apr-20,0,2,0,0,0,0
21-Apr-20,0,2,0,0,1,1
22-Apr-20,0,2,0,0,0,1
23-Apr-20,0,2,0,0,0,1
24-Apr-20,0,2,0,0,1,2
25-Apr-20,0,2,0,0,0,2
26-Apr-20,0,2,0,0,0,2
27-Apr-20,1,3,0,0,0,2
28-Apr-20,0,3,0,0,0,2
29-Apr-20,9,12,0,0,0,2
30-Apr-20,0,12,0,0,0,2
01-May-20,0,12,0,0,0,2
02-May-20,1,13,0,0,0,2
03-May-20,0,13,0,0,0,2
04-May-20,15,28,0,0,0,2
05-May-20,0,28,0,0,0,2
06-May-20,12,40,0,0,0,2
07-May-20,10,50,0,0,0,2
08-May-20,5,55,0,0,0,2
09-May-20,5,60,0,0,0,2
10-May-20,2,62,0,0,16,18
11-May-20,5,67,2,2,0,18
12-May-20,1,68,0,2,2,20
13-May-20,27,95,1,3,1,21
14-May-20,5,100,0,3,0,21
15-May-20,13,113,0,3,0,21
