Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,4.0,4,0.0,0,0.0,0
02-Apr-20,0.0,4,0.0,0,0.0,0
03-Apr-20,12.0,16,0.0,0,0.0,0
04-Apr-20,1.0,17,0.0,0,0.0,0
05-Apr-20,1.0,18,0.0,0,0.0,0
06-Apr-20,2.0,20,0.0,0,0.0,0
07-Apr-20,0.0,20,0.0,0,0.0,0
08-Apr-20,0.0,20,0.0,0,0.0,0
09-Apr-20,7.0,27,0.0,0,0.0,0
10-Apr-20,0.0,27,0.0,0,0.0,0
11-Apr-20,20.0,47,0.0,0,0.0,0
12-Apr-20,12.0,59,0.0,0,0.0,0
13-Apr-20,0.0,59,0.0,0,0.0,0
14-Apr-20,0.0,59,0.0,0,0.0,0
15-Apr-20,1.0,60,0.0,0,0.0,0
16-Apr-20,11.0,71,0.0,0,0.0,0
17-Apr-20,22.0,93,0.0,0,0.0,0
18-Apr-20,2.0,95,0.0,0,0.0,0
19-Apr-20,0.0,95,0.0,0,0.0,0
20-Apr-20,0.0,95,0.0,0,0.0,0
21-Apr-20,3.0,98,1.0,1,15.0,15
22-Apr-20,17.0,115,0.0,1,0.0,15
23-Apr-20,0.0,115,0.0,1,0.0,15
24-Apr-20,0.0,115,0.0,1,4.0,19
25-Apr-20,0.0,115,0.0,1,0.0,19
26-Apr-20,0.0,115,0.0,1,13.0,32
27-Apr-20,8.0,123,0.0,1,3.0,35
28-Apr-20,8.0,131,0.0,1,0.0,35
29-Apr-20,0.0,131,0.0,1,0.0,35
30-Apr-20,3.0,134,0.0,1,0.0,35
01-May-20,0.0,134,0.0,1,54.0,89
02-May-20,0.0,134,0.0,1,24.0,113
03-May-20,0.0,134,0.0,1,0.0,113
04-May-20,0.0,134,0.0,1,2.0,115
05-May-20,2.0,136,0.0,1,5.0,120
06-May-20,0.0,136,0.0,1,0.0,120
07-May-20,0.0,136,0.0,1,0.0,120
08-May-20,0.0,136,0.0,1,11.0,131
09-May-20,0.0,136,0.0,1,0.0,131
10-May-20,4.0,140,0.0,1,0.0,131
11-May-20,2.0,142,0.0,1,0.0,131
12-May-20,0.0,142,0.0,1,0.0,131
13-May-20,2.0,144,0.0,1,0.0,131
14-May-20,0.0,144,0.0,1,3.0,134
15-May-20,0.0,144,0.0,1,0.0,134
