Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,0,0,0,0,0,0
04-Apr-20,0,0,0,0,0,0
05-Apr-20,0,0,0,0,0,0
06-Apr-20,0,0,0,0,0,0
07-Apr-20,0,0,0,0,0,0
08-Apr-20,0,0,0,0,0,0
09-Apr-20,0,0,0,0,0,0
10-Apr-20,0,0,0,0,0,0
11-Apr-20,0,0,0,0,0,0
12-Apr-20,0,0,0,0,0,0
13-Apr-20,0,0,0,0,0,0
14-Apr-20,0,0,0,0,0,0
15-Apr-20,0,0,0,0,0,0
16-Apr-20,0,0,0,0,0,0
17-Apr-20,0,0,0,0,0,0
18-Apr-20,0,0,0,0,0,0
19-Apr-20,0,0,0,0,0,0
20-Apr-20,0,0,0,0,0,0
21-Apr-20,0,0,0,0,0,0
22-Apr-20,0,0,0,0,0,0
23-Apr-20,0,0,0,0,0,0
24-Apr-20,0,0,0,0,0,0
25-Apr-20,0,0,0,0,0,0
26-Apr-20,0,0,0,0,0,0
27-Apr-20,0,0,0,0,0,0
28-Apr-20,0,0,0,0,0,0
29-Apr-20,0,0,0,0,0,0
30-Apr-20,0,0,0,0,0,0
01-May-20,0,0,0,0,0,0
02-May-20,0,0,0,0,0,0
03-May-20,0,0,0,0,0,0
04-May-20,0,0,0,0,0,0
05-May-20,0,0,0,0,0,0
06-May-20,0,0,0,0,0,0
07-May-20,0,0,0,0,0,0
08-May-20,0,0,0,0,0,0
09-May-20,0,0,0,0,0,0
10-May-20,0,0,0,0,0,0
11-May-20,0,0,0,0,0,0
12-May-20,0,0,0,0,0,0
13-May-20,0,0,0,0,0,0
14-May-20,0,0,0,0,0,0
15-May-20,0,0,0,0,0,0
16-May-20,0,0,0,0,0,0
17-May-20,0,0,0,0,0,0
18-May-20,0,0,0,0,0,0
19-May-20,0,0,0,0,0,0
20-May-20,0,0,0,0,0,0
21-May-20,0,0,0,0,0,0
22-May-20,0,0,0,0,0,0
23-May-20,1,1,0,0,0,0
24-May-20,0,1,0,0,0,0
25-May-20,0,1,0,0,0,0
26-May-20,0,1,0,0,0,0
27-May-20,0,1,0,0,0,0
28-May-20,0,1,0,0,0,0
29-May-20,0,1,0,0,0,0
30-May-20,0,1,0,0,0,0
31-May-20,0,1,0,0,0,0
01-Jun-20,0,1,0,0,0,0
02-Jun-20,0,1,0,0,0,0
03-Jun-20,1,2,0,0,0,0
04-Jun-20,0,2,0,0,0,0
05-Jun-20,1,3,0,0,0,0
06-Jun-20,4,7,0,0,0,0
07-Jun-20,0,7,0,0,0,0
08-Jun-20,0,7,0,0,0,0
09-Jun-20,6,13,0,0,3,3
10-Jun-20,0,13,0,0,0,3
11-Jun-20,0,13,0,0,0,3
12-Jun-20,50,63,0,0,0,3
13-Jun-20,0,63,0,0,2,5
14-Jun-20,5,68,0,0,0,5
15-Jun-20,0,68,0,0,0,5
16-Jun-20,0,68,0,0,0,5
17-Jun-20,2,70,0,0,0,5
18-Jun-20,0,70,0,0,1,6
19-Jun-20,0,70,0,0,16,22
20-Jun-20,0,70,0,0,0,22
21-Jun-20,8,78,0,0,4,26
22-Jun-20,0,78,0,0,4,30
23-Jun-20,1,79,0,0,0,30
24-Jun-20,4,83,0,0,10,40
25-Jun-20,2,85,0,0,0,40
26-Jun-20,2,87,0,0,0,40
27-Jun-20,0,87,0,0,10,50
28-Jun-20,1,88,0,0,0,50
29-Jun-20,0,88,0,0,0,50
30-Jun-20,0,88,0,0,1,51
01-Jul-20,1,89,0,0,2,53
02-Jul-20,12,101,0,0,0,53
03-Jul-20,1,102,0,0,0,53
04-Jul-20,1,103,0,0,0,53
05-Jul-20,22,125,0,0,9,62
06-Jul-20,0,125,0,0,4,66
07-Jul-20,2,127,0,0,0,66
08-Jul-20,6,133,0,0,6,72
09-Jul-20,1,134,0,0,0,72
10-Jul-20,0,134,0,0,9,81
11-Jul-20,26,160,0,0,0,81
