Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,1,1,0,0,0,0
15-Mar-20,0,1,0,0,0,0
16-Mar-20,0,1,0,0,1,1
17-Mar-20,0,1,0,0,0,1
18-Mar-20,1,2,0,0,0,1
19-Mar-20,1,3,0,0,0,1
20-Mar-20,0,3,0,0,0,1
21-Mar-20,3,6,0,0,0,1
22-Mar-20,3,9,0,0,0,1
23-Mar-20,3,12,0,0,0,1
24-Mar-20,6,18,1,1,0,1
25-Mar-20,8,26,0,1,0,1
26-Mar-20,3,29,0,1,0,1
27-Mar-20,9,38,0,1,1,2
28-Mar-20,4,42,0,1,0,2
29-Mar-20,8,50,0,1,0,2
30-Mar-20,17,67,0,1,2,4
31-Mar-20,57,124,0,1,2,6
01-Apr-20,110,234,0,1,0,6
02-Apr-20,75,309,0,1,0,6
03-Apr-20,102,411,0,1,0,6
04-Apr-20,74,485,2,3,2,8
05-Apr-20,86,571,2,5,0,8
06-Apr-20,50,621,1,6,5,13
07-Apr-20,69,690,1,7,6,19
08-Apr-20,48,738,1,8,2,21
09-Apr-20,96,834,0,8,6,27
10-Apr-20,77,911,1,9,17,44
11-Apr-20,58,969,1,10,0,44
12-Apr-20,106,1075,1,11,6,50
13-Apr-20,98,1173,0,11,8,58
14-Apr-20,31,1204,1,12,23,81
15-Apr-20,38,1242,2,14,37,118
16-Apr-20,25,1267,1,15,62,180
17-Apr-20,56,1323,0,15,103,283
18-Apr-20,49,1372,0,15,82,365
19-Apr-20,105,1477,0,15,46,411
20-Apr-20,43,1520,2,17,46,457
21-Apr-20,76,1596,1,18,178,635
22-Apr-20,33,1629,0,18,27,662
23-Apr-20,54,1683,2,20,90,752
24-Apr-20,72,1755,2,22,114,866
25-Apr-20,66,1821,1,23,94,960
26-Apr-20,64,1885,1,24,60,1020
27-Apr-20,52,1937,0,24,54,1074
28-Apr-20,121,2058,1,25,54,1128
29-Apr-20,104,2162,2,27,82,1210
30-Apr-20,161,2323,0,27,48,1258
01-May-20,203,2526,1,28,54,1312
02-May-20,231,2757,1,29,29,1341
03-May-20,266,3023,1,30,38,1379
04-May-20,527,3550,1,31,30,1409
05-May-20,508,4058,2,33,76,1485
06-May-20,771,4829,2,35,31,1516
07-May-20,580,5409,2,37,31,1547
08-May-20,600,6009,3,40,58,1605
09-May-20,526,6535,4,44,219,1824
10-May-20,669,7204,3,47,135,1959
11-May-20,798,8002,6,53,92,2051
12-May-20,716,8718,8,61,83,2134
13-May-20,509,9227,3,64,41,2175
14-May-20,447,9674,2,66,65,2240
15-May-20,434,10108,5,71,359,2599
16-May-20,477,10585,4,75,939,3538
17-May-20,639,11224,4,79,634,4172
18-May-20,536,11760,3,82,234,4406
19-May-20,688,12448,3,85,489,4895
20-May-20,743,13191,3,88,987,5882
21-May-20,776,13967,7,95,400,6282
22-May-20,786,14753,4,99,846,7128
23-May-20,759,15512,5,104,363,7491
24-May-20,765,16277,8,112,833,8324
25-May-20,805,17082,7,119,407,8731
26-May-20,646,17728,11,130,611,9342
27-May-20,817,18545,6,136,567,9909
