Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,1.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,2.0,3,0.0,0,0.0,0
28-Mar-20,0.0,3,0.0,0,0.0,0
29-Mar-20,0.0,3,0.0,0,0.0,0
30-Mar-20,0.0,3,0.0,0,0.0,0
31-Mar-20,1.0,4,0.0,0,0.0,0
01-Apr-20,7.0,11,0.0,0,0.0,0
02-Apr-20,7.0,18,0.0,0,0.0,0
03-Apr-20,0.0,18,0.0,0,0.0,0
04-Apr-20,0.0,18,0.0,0,0.0,0
05-Apr-20,3.0,21,0.0,0,0.0,0
06-Apr-20,2.0,23,0.0,0,0.0,0
07-Apr-20,0.0,23,0.0,0,0.0,0
08-Apr-20,0.0,23,0.0,0,0.0,0
09-Apr-20,4.0,27,0.0,0,0.0,0
10-Apr-20,12.0,39,0.0,0,0.0,0
11-Apr-20,1.0,40,0.0,0,0.0,0
12-Apr-20,2.0,42,0.0,0,0.0,0
13-Apr-20,2.0,44,0.0,0,0.0,0
14-Apr-20,0.0,44,0.0,0,0.0,0
15-Apr-20,3.0,47,0.0,0,0.0,0
16-Apr-20,0.0,47,0.0,0,0.0,0
17-Apr-20,0.0,47,0.0,0,0.0,0
18-Apr-20,0.0,47,0.0,0,0.0,0
19-Apr-20,3.0,50,0.0,0,0.0,0
20-Apr-20,0.0,50,0.0,0,0.0,0
21-Apr-20,3.0,53,0.0,0,0.0,0
22-Apr-20,0.0,53,0.0,0,0.0,0
23-Apr-20,1.0,54,0.0,0,0.0,0
24-Apr-20,0.0,54,0.0,0,0.0,0
25-Apr-20,1.0,55,0.0,0,0.0,0
26-Apr-20,0.0,55,0.0,0,0.0,0
27-Apr-20,0.0,55,0.0,0,0.0,0
28-Apr-20,12.0,67,0.0,0,40.0,40
29-Apr-20,4.0,71,0.0,0,3.0,43
30-Apr-20,5.0,76,1.0,1,5.0,48
01-May-20,8.0,84,0.0,1,0.0,48
02-May-20,5.0,89,1.0,2,0.0,48
03-May-20,1.0,90,0.0,2,0.0,48
04-May-20,4.0,94,0.0,2,0.0,48
05-May-20,36.0,130,0.0,2,1.0,49
06-May-20,9.0,139,0.0,2,0.0,49
07-May-20,13.0,152,0.0,2,0.0,49
08-May-20,26.0,178,0.0,2,0.0,49
09-May-20,40.0,218,0.0,2,2.0,51
10-May-20,43.0,261,1.0,3,5.0,56
11-May-20,90.0,351,0.0,3,9.0,65
12-May-20,35.0,386,0.0,3,1.0,66
13-May-20,25.0,411,0.0,3,0.0,66
14-May-20,9.0,420,0.0,3,1.0,67
15-May-20,30.0,450,0.0,3,1.0,68
