Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,1.0,1,0.0,0,0.0,0
19-Mar-20,1.0,2,0.0,0,0.0,0
20-Mar-20,0.0,2,0.0,0,0.0,0
21-Mar-20,1.0,3,0.0,0,0.0,0
22-Mar-20,1.0,4,0.0,0,0.0,0
23-Mar-20,1.0,5,0.0,0,0.0,0
24-Mar-20,5.0,10,0.0,0,0.0,0
25-Mar-20,1.0,11,0.0,0,0.0,0
26-Mar-20,2.0,13,0.0,0,0.0,0
27-Mar-20,2.0,15,0.0,0,0.0,0
28-Mar-20,1.0,16,0.0,0,1.0,1
29-Mar-20,0.0,16,0.0,0,0.0,1
30-Mar-20,5.0,21,0.0,0,0.0,1
31-Mar-20,4.0,25,0.0,0,0.0,1
01-Apr-20,1.0,26,0.0,0,0.0,1
02-Apr-20,20.0,46,0.0,0,0.0,1
03-Apr-20,35.0,81,0.0,0,0.0,1
04-Apr-20,7.0,88,0.0,0,0.0,1
05-Apr-20,7.0,95,0.0,0,0.0,1
06-Apr-20,15.0,110,0.0,0,0.0,1
07-Apr-20,39.0,149,0.0,0,0.0,1
08-Apr-20,7.0,156,0.0,0,0.0,1
09-Apr-20,7.0,163,0.0,0,0.0,1
10-Apr-20,9.0,172,0.0,0,0.0,1
11-Apr-20,10.0,182,0.0,0,0.0,1
12-Apr-20,18.0,200,0.0,0,0.0,1
13-Apr-20,9.0,209,0.0,0,0.0,1
14-Apr-20,5.0,214,0.0,0,0.0,1
15-Apr-20,5.0,219,0.0,0,0.0,1
16-Apr-20,3.0,222,0.0,0,0.0,1
17-Apr-20,11.0,233,0.0,0,0.0,1
18-Apr-20,7.0,240,0.0,0,0.0,1
19-Apr-20,50.0,290,0.0,0,0.0,1
20-Apr-20,0.0,290,0.0,0,0.0,1
21-Apr-20,73.0,363,0.0,0,98.0,99
22-Apr-20,15.0,378,0.0,0,0.0,99
23-Apr-20,27.0,405,0.0,0,0.0,99
24-Apr-20,52.0,457,0.0,0,0.0,99
25-Apr-20,43.0,500,0.0,0,0.0,99
26-Apr-20,28.0,528,0.0,0,0.0,99
27-Apr-20,47.0,575,0.0,0,0.0,99
28-Apr-20,103.0,678,8.0,8,96.0,195
29-Apr-20,94.0,772,6.0,14,15.0,210
30-Apr-20,138.0,910,1.0,15,4.0,214
01-May-20,176.0,1086,1.0,16,8.0,222
02-May-20,174.0,1260,1.0,17,1.0,223
03-May-20,203.0,1463,0.0,17,27.0,250
04-May-20,266.0,1729,1.0,18,17.0,267
05-May-20,278.0,2007,2.0,20,52.0,319
06-May-20,324.0,2331,2.0,22,11.0,330
07-May-20,316.0,2647,1.0,23,9.0,339
08-May-20,399.0,3046,2.0,25,35.0,374
09-May-20,279.0,3325,3.0,28,171.0,545
10-May-20,509.0,3834,1.0,29,94.0,639
11-May-20,538.0,4372,4.0,33,67.0,706
12-May-20,510.0,4882,7.0,40,43.0,749
13-May-20,380.0,5262,3.0,43,0.0,749
14-May-20,363.0,5625,2.0,45,9.0,758
15-May-20,322.0,5947,4.0,49,25.0,783
