Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,1.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,0.0,1,0.0,0,0.0,0
28-Mar-20,0.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,28.0,29,0.0,0,0.0,0
02-Apr-20,0.0,29,0.0,0,0.0,0
03-Apr-20,0.0,29,0.0,0,0.0,0
04-Apr-20,0.0,29,0.0,0,0.0,0
05-Apr-20,29.0,58,0.0,0,0.0,0
06-Apr-20,1.0,59,0.0,0,0.0,0
07-Apr-20,1.0,60,0.0,0,0.0,0
08-Apr-20,0.0,60,0.0,0,0.0,0
09-Apr-20,0.0,60,0.0,0,0.0,0
10-Apr-20,26.0,86,0.0,0,0.0,0
11-Apr-20,11.0,97,0.0,0,0.0,0
12-Apr-20,22.0,119,0.0,0,0.0,0
13-Apr-20,7.0,126,0.0,0,0.0,0
14-Apr-20,0.0,126,0.0,0,0.0,0
15-Apr-20,0.0,126,0.0,0,0.0,0
16-Apr-20,1.0,127,0.0,0,0.0,0
17-Apr-20,0.0,127,0.0,0,0.0,0
18-Apr-20,1.0,128,0.0,0,0.0,0
19-Apr-20,5.0,133,0.0,0,0.0,0
20-Apr-20,0.0,133,0.0,0,0.0,0
21-Apr-20,1.0,134,0.0,0,75.0,75
22-Apr-20,0.0,134,0.0,0,0.0,75
23-Apr-20,0.0,134,0.0,0,0.0,75
24-Apr-20,7.0,141,0.0,0,0.0,75
25-Apr-20,0.0,141,0.0,0,0.0,75
26-Apr-20,0.0,141,0.0,0,0.0,75
27-Apr-20,0.0,141,0.0,0,0.0,75
28-Apr-20,0.0,141,0.0,0,45.0,120
29-Apr-20,0.0,141,0.0,0,1.0,121
30-Apr-20,0.0,141,0.0,0,4.0,125
01-May-20,0.0,141,0.0,0,2.0,127
02-May-20,1.0,142,0.0,0,0.0,127
03-May-20,4.0,146,1.0,1,6.0,133
04-May-20,0.0,146,0.0,1,0.0,133
05-May-20,0.0,146,0.0,1,7.0,140
06-May-20,0.0,146,0.0,1,0.0,140
07-May-20,0.0,146,0.0,1,0.0,140
08-May-20,0.0,146,0.0,1,0.0,140
09-May-20,0.0,146,0.0,1,0.0,140
10-May-20,0.0,146,0.0,1,0.0,140
11-May-20,0.0,146,0.0,1,0.0,140
12-May-20,0.0,146,0.0,1,0.0,140
13-May-20,0.0,146,0.0,1,4.0,144
14-May-20,0.0,146,0.0,1,0.0,144
15-May-20,0.0,146,0.0,1,0.0,144
