Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,17.0,17,0.0,0,0.0,0
02-Apr-20,0.0,17,0.0,0,0.0,0
03-Apr-20,26.0,43,0.0,0,0.0,0
04-Apr-20,0.0,43,0.0,0,0.0,0
05-Apr-20,2.0,45,0.0,0,0.0,0
06-Apr-20,0.0,45,0.0,0,0.0,0
07-Apr-20,0.0,45,0.0,0,0.0,0
08-Apr-20,1.0,46,0.0,0,0.0,0
09-Apr-20,0.0,46,0.0,0,0.0,0
10-Apr-20,8.0,54,0.0,0,0.0,0
11-Apr-20,1.0,55,0.0,0,0.0,0
12-Apr-20,1.0,56,0.0,0,0.0,0
13-Apr-20,0.0,56,0.0,0,0.0,0
14-Apr-20,9.0,65,0.0,0,0.0,0
15-Apr-20,0.0,65,0.0,0,0.0,0
16-Apr-20,0.0,65,0.0,0,0.0,0
17-Apr-20,1.0,66,0.0,0,0.0,0
18-Apr-20,3.0,69,0.0,0,0.0,0
19-Apr-20,5.0,74,0.0,0,0.0,0
20-Apr-20,0.0,74,0.0,0,0.0,0
21-Apr-20,2.0,76,0.0,0,0.0,0
22-Apr-20,1.0,77,0.0,0,0.0,0
23-Apr-20,3.0,80,0.0,0,0.0,0
24-Apr-20,0.0,80,0.0,0,0.0,0
25-Apr-20,0.0,80,0.0,0,0.0,0
26-Apr-20,0.0,80,0.0,0,0.0,0
27-Apr-20,0.0,80,0.0,0,0.0,0
28-Apr-20,0.0,80,0.0,0,62.0,62
29-Apr-20,0.0,80,1.0,1,4.0,66
30-Apr-20,0.0,80,0.0,1,5.0,71
01-May-20,1.0,81,0.0,1,0.0,71
02-May-20,0.0,81,0.0,1,1.0,72
03-May-20,0.0,81,0.0,1,0.0,72
04-May-20,10.0,91,0.0,1,0.0,72
05-May-20,7.0,98,0.0,1,1.0,73
06-May-20,9.0,107,0.0,1,2.0,75
07-May-20,0.0,107,0.0,1,0.0,75
08-May-20,0.0,107,0.0,1,4.0,79
09-May-20,1.0,108,0.0,1,0.0,79
10-May-20,0.0,108,0.0,1,0.0,79
11-May-20,1.0,109,0.0,1,0.0,79
12-May-20,2.0,111,0.0,1,0.0,79
13-May-20,0.0,111,0.0,1,0.0,79
14-May-20,1.0,112,0.0,1,1.0,80
15-May-20,2.0,114,0.0,1,3.0,83
