Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,1,0,0,0,1
15-Mar-20,0,1,0,0,0,1
16-Mar-20,0,1,0,0,0,1
17-Mar-20,0,1,0,0,0,1
18-Mar-20,0,1,0,0,0,1
19-Mar-20,0,1,0,0,0,1
20-Mar-20,0,1,0,0,0,1
21-Mar-20,0,1,0,0,0,1
22-Mar-20,0,1,0,0,0,1
23-Mar-20,0,1,0,0,0,1
24-Mar-20,0,1,0,0,0,1
25-Mar-20,0,1,0,0,0,1
26-Mar-20,0,1,0,0,0,1
27-Mar-20,0,1,0,0,0,1
28-Mar-20,0,1,0,0,0,1
29-Mar-20,0,1,0,0,0,1
30-Mar-20,0,1,0,0,0,1
31-Mar-20,0,1,0,0,0,1
01-Apr-20,2,3,0,0,0,1
02-Apr-20,0,3,0,0,0,1
03-Apr-20,1,4,0,0,0,1
04-Apr-20,0,4,0,0,0,1
05-Apr-20,1,5,0,0,0,1
06-Apr-20,2,7,0,0,0,1
07-Apr-20,0,7,0,0,0,1
08-Apr-20,0,7,0,0,0,1
09-Apr-20,0,7,0,0,0,1
10-Apr-20,0,7,0,0,0,1
11-Apr-20,0,7,0,0,0,1
12-Apr-20,0,7,0,0,0,1
13-Apr-20,0,7,0,0,0,1
14-Apr-20,0,7,0,0,0,1
15-Apr-20,0,7,0,0,0,1
16-Apr-20,0,7,0,0,0,1
17-Apr-20,0,7,0,0,0,1
18-Apr-20,0,7,0,0,0,1
19-Apr-20,1,8,0,0,0,1
20-Apr-20,0,8,0,0,0,1
21-Apr-20,1,9,0,0,0,1
22-Apr-20,1,10,0,0,0,1
23-Apr-20,0,10,0,0,0,1
24-Apr-20,1,11,0,0,0,1
25-Apr-20,7,18,0,0,0,1
26-Apr-20,0,18,0,0,0,1
27-Apr-20,0,18,0,0,0,1
28-Apr-20,1,19,0,0,6,7
29-Apr-20,3,22,0,0,2,9
30-Apr-20,3,25,1,1,0,9
01-May-20,2,27,0,1,0,9
02-May-20,13,40,0,1,0,9
03-May-20,0,40,0,1,0,9
04-May-20,0,40,0,1,0,9
05-May-20,1,41,0,1,1,10
06-May-20,45,86,0,1,1,11
07-May-20,2,88,0,1,0,11
08-May-20,8,96,0,1,0,11
09-May-20,17,113,0,1,1,12
10-May-20,8,121,0,1,8,20
11-May-20,8,129,0,1,6,26
12-May-20,24,153,0,1,0,26
13-May-20,4,157,0,1,1,27
14-May-20,8,165,0,1,39,66
15-May-20,10,175,0,1,5,71
