Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,1.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,1.0,1,0.0,0
26-Mar-20,0.0,1,0.0,1,0.0,0
27-Mar-20,2.0,3,0.0,1,0.0,0
28-Mar-20,0.0,3,0.0,1,0.0,0
29-Mar-20,0.0,3,0.0,1,0.0,0
30-Mar-20,1.0,4,0.0,1,0.0,0
31-Mar-20,2.0,6,0.0,1,0.0,0
01-Apr-20,9.0,15,0.0,1,0.0,0
02-Apr-20,0.0,15,0.0,1,0.0,0
03-Apr-20,0.0,15,0.0,1,0.0,0
04-Apr-20,2.0,17,0.0,1,0.0,0
05-Apr-20,2.0,19,0.0,1,0.0,0
06-Apr-20,0.0,19,0.0,1,0.0,0
07-Apr-20,5.0,24,0.0,1,0.0,0
08-Apr-20,0.0,24,0.0,1,0.0,0
09-Apr-20,1.0,25,0.0,1,0.0,0
10-Apr-20,0.0,25,0.0,1,0.0,0
11-Apr-20,0.0,25,0.0,1,0.0,0
12-Apr-20,0.0,25,0.0,1,0.0,0
13-Apr-20,14.0,39,0.0,1,0.0,0
14-Apr-20,2.0,41,0.0,1,0.0,0
15-Apr-20,0.0,41,0.0,1,0.0,0
16-Apr-20,3.0,44,0.0,1,0.0,0
17-Apr-20,0.0,44,0.0,1,0.0,0
18-Apr-20,0.0,44,0.0,1,0.0,0
19-Apr-20,2.0,46,0.0,1,0.0,0
20-Apr-20,0.0,46,0.0,1,0.0,0
21-Apr-20,0.0,46,-1.0,0,28.0,28
22-Apr-20,4.0,50,0.0,0,0.0,28
23-Apr-20,2.0,52,0.0,0,0.0,28
24-Apr-20,4.0,56,0.0,0,0.0,28
25-Apr-20,4.0,60,0.0,0,0.0,28
26-Apr-20,15.0,75,0.0,0,0.0,28
27-Apr-20,4.0,79,0.0,0,0.0,28
28-Apr-20,0.0,79,1.0,1,8.0,36
29-Apr-20,0.0,79,0.0,1,4.0,40
30-Apr-20,5.0,84,1.0,2,0.0,40
01-May-20,3.0,87,0.0,2,2.0,42
02-May-20,1.0,88,0.0,2,0.0,42
03-May-20,2.0,90,0.0,2,1.0,43
04-May-20,1.0,91,0.0,2,0.0,43
05-May-20,1.0,92,0.0,2,0.0,43
06-May-20,20.0,112,0.0,2,5.0,48
07-May-20,0.0,112,0.0,2,6.0,54
08-May-20,2.0,114,0.0,2,0.0,54
09-May-20,0.0,114,0.0,2,16.0,70
10-May-20,4.0,118,0.0,2,3.0,73
11-May-20,4.0,122,0.0,2,0.0,73
12-May-20,0.0,122,0.0,2,0.0,73
13-May-20,2.0,124,0.0,2,10.0,83
14-May-20,9.0,133,0.0,2,0.0,83
15-May-20,10.0,143,0.0,2,4.0,87
