Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,20.0,20,0.0,0,0.0,0
02-Apr-20,0.0,20,0.0,0,0.0,0
03-Apr-20,1.0,21,0.0,0,0.0,0
04-Apr-20,2.0,23,0.0,0,0.0,0
05-Apr-20,1.0,24,0.0,0,0.0,0
06-Apr-20,0.0,24,0.0,0,0.0,0
07-Apr-20,0.0,24,0.0,0,0.0,0
08-Apr-20,16.0,40,0.0,0,0.0,0
09-Apr-20,1.0,41,0.0,0,0.0,0
10-Apr-20,0.0,41,0.0,0,0.0,0
11-Apr-20,0.0,41,0.0,0,0.0,0
12-Apr-20,0.0,41,0.0,0,0.0,0
13-Apr-20,0.0,41,0.0,0,0.0,0
14-Apr-20,0.0,41,0.0,0,0.0,0
15-Apr-20,1.0,42,0.0,0,0.0,0
16-Apr-20,0.0,42,0.0,0,0.0,0
17-Apr-20,2.0,44,0.0,0,0.0,0
18-Apr-20,0.0,44,0.0,0,0.0,0
19-Apr-20,0.0,44,0.0,0,0.0,0
20-Apr-20,0.0,44,0.0,0,0.0,0
21-Apr-20,0.0,44,0.0,0,18.0,18
22-Apr-20,0.0,44,0.0,0,0.0,18
23-Apr-20,0.0,44,0.0,0,0.0,18
24-Apr-20,0.0,44,0.0,0,0.0,18
25-Apr-20,0.0,44,0.0,0,0.0,18
26-Apr-20,0.0,44,0.0,0,0.0,18
27-Apr-20,0.0,44,0.0,0,0.0,18
28-Apr-20,0.0,44,1.0,1,18.0,36
29-Apr-20,0.0,44,0.0,1,0.0,36
30-Apr-20,0.0,44,0.0,1,1.0,37
01-May-20,0.0,44,0.0,1,0.0,37
02-May-20,0.0,44,0.0,1,5.0,42
03-May-20,0.0,44,0.0,1,0.0,42
04-May-20,0.0,44,0.0,1,0.0,42
05-May-20,5.0,49,0.0,1,0.0,42
06-May-20,2.0,51,0.0,1,0.0,42
07-May-20,3.0,54,0.0,1,0.0,42
08-May-20,1.0,55,0.0,1,0.0,42
09-May-20,2.0,57,0.0,1,0.0,42
10-May-20,3.0,60,0.0,1,0.0,42
11-May-20,0.0,60,0.0,1,0.0,42
12-May-20,7.0,67,0.0,1,0.0,42
13-May-20,5.0,72,0.0,1,0.0,42
14-May-20,1.0,73,0.0,1,0.0,42
15-May-20,5.0,78,0.0,1,0.0,42
