Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,17.0,17,0.0,0,0.0,0
05-Apr-20,0.0,17,0.0,0,0.0,0
06-Apr-20,13.0,30,0.0,0,0.0,0
07-Apr-20,0.0,30,0.0,0,0.0,0
08-Apr-20,6.0,36,0.0,0,0.0,0
09-Apr-20,0.0,36,0.0,0,0.0,0
10-Apr-20,0.0,36,0.0,0,0.0,0
11-Apr-20,3.0,39,0.0,0,0.0,0
12-Apr-20,4.0,43,0.0,0,0.0,0
13-Apr-20,0.0,43,0.0,0,0.0,0
14-Apr-20,0.0,43,0.0,0,0.0,0
15-Apr-20,0.0,43,0.0,0,0.0,0
16-Apr-20,0.0,43,0.0,0,0.0,0
17-Apr-20,3.0,46,0.0,0,0.0,0
18-Apr-20,0.0,46,0.0,0,0.0,0
19-Apr-20,0.0,46,0.0,0,0.0,0
20-Apr-20,0.0,46,0.0,0,0.0,0
21-Apr-20,4.0,50,0.0,0,33.0,33
22-Apr-20,1.0,51,0.0,0,0.0,33
23-Apr-20,0.0,51,0.0,0,0.0,33
24-Apr-20,0.0,51,0.0,0,0.0,33
25-Apr-20,0.0,51,0.0,0,0.0,33
26-Apr-20,0.0,51,0.0,0,0.0,33
27-Apr-20,0.0,51,0.0,0,0.0,33
28-Apr-20,0.0,51,0.0,0,9.0,42
29-Apr-20,0.0,51,0.0,0,3.0,45
30-Apr-20,0.0,51,0.0,0,0.0,45
01-May-20,0.0,51,0.0,0,0.0,45
02-May-20,0.0,51,0.0,0,1.0,46
03-May-20,0.0,51,0.0,0,0.0,46
04-May-20,4.0,55,0.0,0,0.0,46
05-May-20,1.0,56,0.0,0,0.0,46
06-May-20,1.0,57,0.0,0,0.0,46
07-May-20,5.0,62,0.0,0,4.0,50
08-May-20,1.0,63,0.0,0,0.0,50
09-May-20,0.0,63,0.0,0,0.0,50
10-May-20,0.0,63,0.0,0,0.0,50
11-May-20,0.0,63,0.0,0,0.0,50
12-May-20,2.0,65,0.0,0,5.0,55
13-May-20,0.0,65,0.0,0,1.0,56
14-May-20,0.0,65,0.0,0,0.0,56
15-May-20,2.0,67,0.0,0,0.0,56
