Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,1.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,0.0,1,0.0,0,0.0,0
28-Mar-20,0.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,22.0,23,0.0,0,0.0,0
01-Apr-20,6.0,29,0.0,0,0.0,0
02-Apr-20,1.0,30,0.0,0,0.0,0
03-Apr-20,6.0,36,0.0,0,0.0,0
04-Apr-20,1.0,37,0.0,0,0.0,0
05-Apr-20,1.0,38,0.0,0,0.0,0
06-Apr-20,0.0,38,0.0,0,0.0,0
07-Apr-20,0.0,38,0.0,0,0.0,0
08-Apr-20,4.0,42,0.0,0,0.0,0
09-Apr-20,16.0,58,0.0,0,0.0,0
10-Apr-20,0.0,58,0.0,0,0.0,0
11-Apr-20,0.0,58,0.0,0,0.0,0
12-Apr-20,0.0,58,0.0,0,0.0,0
13-Apr-20,0.0,58,0.0,0,0.0,0
14-Apr-20,0.0,58,0.0,0,0.0,0
15-Apr-20,1.0,59,0.0,0,0.0,0
16-Apr-20,1.0,60,0.0,0,0.0,0
17-Apr-20,0.0,60,0.0,0,0.0,0
18-Apr-20,2.0,62,0.0,0,0.0,0
19-Apr-20,2.0,64,0.0,0,0.0,0
20-Apr-20,0.0,64,0.0,0,0.0,0
21-Apr-20,0.0,64,0.0,0,30.0,30
22-Apr-20,0.0,64,0.0,0,0.0,30
23-Apr-20,1.0,65,0.0,0,0.0,30
24-Apr-20,0.0,65,0.0,0,0.0,30
25-Apr-20,0.0,65,0.0,0,0.0,30
26-Apr-20,0.0,65,0.0,0,0.0,30
27-Apr-20,0.0,65,0.0,0,0.0,30
28-Apr-20,0.0,65,0.0,0,23.0,53
29-Apr-20,0.0,65,0.0,0,0.0,53
30-Apr-20,0.0,65,0.0,0,1.0,54
01-May-20,0.0,65,0.0,0,3.0,57
02-May-20,0.0,65,0.0,0,0.0,57
03-May-20,0.0,65,0.0,0,0.0,57
04-May-20,0.0,65,0.0,0,1.0,58
05-May-20,1.0,66,0.0,0,1.0,59
06-May-20,1.0,67,0.0,0,0.0,59
07-May-20,3.0,70,0.0,0,0.0,59
08-May-20,4.0,74,1.0,1,0.0,59
09-May-20,9.0,83,0.0,1,0.0,59
10-May-20,10.0,93,0.0,1,4.0,63
11-May-20,0.0,93,0.0,1,0.0,63
12-May-20,3.0,96,0.0,1,-1.0,62
13-May-20,5.0,101,0.0,1,0.0,62
14-May-20,16.0,117,0.0,1,0.0,62
15-May-20,19.0,136,0.0,1,1.0,63
