Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,1.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,0.0,1,0.0,0,0.0,0
28-Mar-20,0.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,0.0,1,0.0,0,0.0,0
02-Apr-20,0.0,1,0.0,0,0.0,0
03-Apr-20,0.0,1,0.0,0,0.0,0
04-Apr-20,2.0,3,0.0,0,0.0,0
05-Apr-20,0.0,3,0.0,0,0.0,0
06-Apr-20,4.0,7,0.0,0,0.0,0
07-Apr-20,13.0,20,0.0,0,0.0,0
08-Apr-20,2.0,22,0.0,0,0.0,0
09-Apr-20,4.0,26,0.0,0,0.0,0
10-Apr-20,0.0,26,0.0,0,0.0,0
11-Apr-20,0.0,26,0.0,0,0.0,0
12-Apr-20,35.0,61,0.0,0,0.0,0
13-Apr-20,18.0,79,0.0,0,0.0,0
14-Apr-20,0.0,79,0.0,0,0.0,0
15-Apr-20,0.0,79,0.0,0,0.0,0
16-Apr-20,1.0,80,0.0,0,0.0,0
17-Apr-20,0.0,80,0.0,0,0.0,0
18-Apr-20,28.0,108,0.0,0,0.0,0
19-Apr-20,0.0,108,0.0,0,0.0,0
20-Apr-20,0.0,108,0.0,0,0.0,0
21-Apr-20,1.0,109,0.0,0,0.0,0
22-Apr-20,0.0,109,0.0,0,0.0,0
23-Apr-20,1.0,110,0.0,0,0.0,0
24-Apr-20,0.0,110,0.0,0,0.0,0
25-Apr-20,0.0,110,0.0,0,0.0,0
26-Apr-20,2.0,112,0.0,0,0.0,0
27-Apr-20,0.0,112,0.0,0,0.0,0
28-Apr-20,0.0,112,0.0,0,83.0,83
29-Apr-20,0.0,112,0.0,0,8.0,91
30-Apr-20,0.0,112,0.0,0,12.0,103
01-May-20,0.0,112,0.0,0,2.0,105
02-May-20,2.0,114,0.0,0,3.0,108
03-May-20,0.0,114,0.0,0,0.0,108
04-May-20,0.0,114,0.0,0,1.0,109
05-May-20,0.0,114,0.0,0,3.0,112
06-May-20,0.0,114,0.0,0,0.0,112
07-May-20,0.0,114,0.0,0,0.0,112
08-May-20,0.0,114,0.0,0,0.0,112
09-May-20,0.0,114,0.0,0,0.0,112
10-May-20,0.0,114,0.0,0,0.0,112
11-May-20,0.0,114,0.0,0,0.0,112
12-May-20,0.0,114,0.0,0,2.0,114
13-May-20,0.0,114,0.0,0,0.0,114
14-May-20,0.0,114,0.0,0,0.0,114
15-May-20,0.0,114,0.0,0,0.0,114
