Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,3,3,0,0,0,0
01-Apr-20,0,3,0,0,0,0
02-Apr-20,0,3,0,0,0,0
03-Apr-20,10,13,0,0,0,0
04-Apr-20,1,14,0,0,0,0
05-Apr-20,5,19,0,0,0,0
06-Apr-20,1,20,0,0,0,0
07-Apr-20,0,20,0,0,0,0
08-Apr-20,4,24,0,0,0,0
09-Apr-20,0,24,0,0,0,0
10-Apr-20,3,27,0,0,0,0
11-Apr-20,0,27,0,0,0,0
12-Apr-20,0,27,0,0,0,0
13-Apr-20,0,27,0,0,0,0
14-Apr-20,0,27,0,0,0,0
15-Apr-20,0,27,0,0,0,0
16-Apr-20,1,28,0,0,0,0
17-Apr-20,2,30,0,0,0,0
18-Apr-20,0,30,0,0,0,0
19-Apr-20,7,37,0,0,0,0
20-Apr-20,0,37,0,0,0,0
21-Apr-20,7,44,0,0,18,18
22-Apr-20,1,45,0,0,0,18
23-Apr-20,1,46,0,0,0,18
24-Apr-20,0,46,0,0,0,18
25-Apr-20,1,47,0,0,0,18
26-Apr-20,4,51,0,0,0,18
27-Apr-20,1,52,0,0,0,18
28-Apr-20,0,52,1,1,4,22
29-Apr-20,2,54,1,2,1,23
30-Apr-20,0,54,0,2,0,23
01-May-20,1,55,0,2,3,26
02-May-20,2,57,0,2,1,27
03-May-20,33,90,0,2,0,27
04-May-20,49,139,0,2,2,29
05-May-20,25,164,0,2,0,29
06-May-20,5,169,0,2,0,29
07-May-20,45,214,0,2,3,32
08-May-20,21,235,0,2,0,32
09-May-20,67,302,0,2,3,35
10-May-20,6,308,0,2,7,42
11-May-20,0,308,0,2,6,48
12-May-20,1,309,0,2,5,53
13-May-20,7,316,0,2,0,53
14-May-20,0,316,0,2,0,53
15-May-20,0,316,0,2,75,128
