Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,2,0.0,0,0.0,1
15-Mar-20,1.0,3,0.0,0,0.0,1
16-Mar-20,1.0,4,0.0,0,0.0,1
17-Mar-20,1.0,5,0.0,0,0.0,1
18-Mar-20,8.0,13,0.0,0,0.0,1
19-Mar-20,3.0,16,0.0,0,0.0,1
20-Mar-20,1.0,17,0.0,0,0.0,1
21-Mar-20,2.0,19,0.0,0,0.0,1
22-Mar-20,5.0,24,0.0,0,0.0,1
23-Mar-20,5.0,29,0.0,0,0.0,1
24-Mar-20,2.0,31,0.0,0,0.0,1
25-Mar-20,2.0,33,0.0,0,0.0,1
26-Mar-20,3.0,36,0.0,0,0.0,1
27-Mar-20,14.0,50,0.0,0,0.0,1
28-Mar-20,8.0,58,1.0,1,0.0,1
29-Mar-20,3.0,61,0.0,1,0.0,1
30-Mar-20,7.0,68,0.0,1,0.0,1
31-Mar-20,20.0,88,0.0,1,0.0,1
01-Apr-20,30.0,118,0.0,1,0.0,1
02-Apr-20,27.0,145,0.0,1,0.0,1
03-Apr-20,6.0,151,0.0,1,0.0,1
04-Apr-20,0.0,151,0.0,1,0.0,1
05-Apr-20,51.0,202,0.0,1,0.0,1
06-Apr-20,0.0,202,0.0,1,0.0,1
07-Apr-20,17.0,219,0.0,1,0.0,1
08-Apr-20,3.0,222,0.0,1,0.0,1
09-Apr-20,3.0,225,0.0,1,0.0,1
10-Apr-20,0.0,225,0.0,1,0.0,1
11-Apr-20,9.0,234,0.0,1,0.0,1
12-Apr-20,10.0,244,0.0,1,0.0,1
13-Apr-20,45.0,289,0.0,1,0.0,1
14-Apr-20,40.0,329,0.0,1,0.0,1
15-Apr-20,5.0,334,0.0,1,0.0,1
16-Apr-20,33.0,367,0.0,1,0.0,1
17-Apr-20,50.0,417,0.0,1,0.0,1
18-Apr-20,31.0,448,0.0,1,0.0,1
19-Apr-20,38.0,486,0.0,1,0.0,1
20-Apr-20,0.0,486,0.0,1,0.0,1
21-Apr-20,12.0,498,-1.0,0,-1.0,0
22-Apr-20,15.0,513,0.0,0,0.0,0
23-Apr-20,13.0,526,0.0,0,0.0,0
24-Apr-20,0.0,526,0.0,0,0.0,0
25-Apr-20,6.0,532,0.0,0,0.0,0
26-Apr-20,11.0,543,0.0,0,0.0,0
27-Apr-20,-1.0,542,18.0,18,151.0,151
28-Apr-20,6.0,548,0.0,18,0.0,151
29-Apr-20,0.0,548,0.0,18,0.0,151
30-Apr-20,0.0,548,3.0,21,0.0,151
01-May-20,5.0,553,0.0,21,0.0,151
02-May-20,15.0,568,0.0,21,24.0,175
03-May-20,20.0,588,0.0,21,0.0,175
04-May-20,3.0,591,0.0,21,0.0,175
05-May-20,0.0,591,0.0,21,0.0,175
06-May-20,11.0,602,0.0,21,0.0,175
07-May-20,12.0,614,0.0,21,37.0,212
08-May-20,10.0,624,0.0,21,21.0,233
09-May-20,30.0,654,0.0,21,12.0,245
10-May-20,26.0,680,0.0,21,0.0,245
11-May-20,79.0,759,0.0,21,42.0,287
12-May-20,37.0,796,2.0,23,13.0,300
13-May-20,31.0,827,0.0,23,0.0,300
14-May-20,40.0,867,0.0,23,0.0,300
15-May-20,33.0,900,0.0,23,5.0,305
