Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,0.0,0,0.0,0,0.0,0
05-Apr-20,0.0,0,0.0,0,0.0,0
06-Apr-20,8.0,8,0.0,0,0.0,0
07-Apr-20,9.0,17,0.0,0,0.0,0
08-Apr-20,0.0,17,0.0,0,0.0,0
09-Apr-20,0.0,17,0.0,0,0.0,0
10-Apr-20,2.0,19,0.0,0,0.0,0
11-Apr-20,0.0,19,0.0,0,0.0,0
12-Apr-20,0.0,19,0.0,0,0.0,0
13-Apr-20,0.0,19,0.0,0,0.0,0
14-Apr-20,0.0,19,0.0,0,0.0,0
15-Apr-20,0.0,19,0.0,0,0.0,0
16-Apr-20,0.0,19,0.0,0,0.0,0
17-Apr-20,0.0,19,0.0,0,0.0,0
18-Apr-20,7.0,26,0.0,0,0.0,0
19-Apr-20,0.0,26,0.0,0,0.0,0
20-Apr-20,0.0,26,0.0,0,0.0,0
21-Apr-20,0.0,26,0.0,0,0.0,0
22-Apr-20,2.0,28,0.0,0,0.0,0
23-Apr-20,10.0,38,0.0,0,0.0,0
24-Apr-20,0.0,38,0.0,0,0.0,0
25-Apr-20,0.0,38,0.0,0,0.0,0
26-Apr-20,0.0,38,0.0,0,0.0,0
27-Apr-20,7.0,45,1.0,1,9.0,9
28-Apr-20,0.0,45,0.0,1,0.0,9
29-Apr-20,0.0,45,0.0,1,0.0,9
30-Apr-20,0.0,45,0.0,1,0.0,9
01-May-20,0.0,45,0.0,1,0.0,9
02-May-20,0.0,45,0.0,1,0.0,9
03-May-20,0.0,45,0.0,1,0.0,9
04-May-20,0.0,45,0.0,1,0.0,9
05-May-20,0.0,45,0.0,1,0.0,9
06-May-20,0.0,45,0.0,1,0.0,9
07-May-20,0.0,45,0.0,1,10.0,19
08-May-20,0.0,45,0.0,1,3.0,22
09-May-20,0.0,45,0.0,1,3.0,25
10-May-20,0.0,45,0.0,1,0.0,25
11-May-20,0.0,45,0.0,1,0.0,25
12-May-20,0.0,45,0.0,1,0.0,25
13-May-20,0.0,45,0.0,1,0.0,25
14-May-20,0.0,45,0.0,1,0.0,25
15-May-20,0.0,45,0.0,1,0.0,25
