Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,81,81,2,2,9,9
15-Mar-20,27,108,0,2,4,13
16-Mar-20,15,123,0,2,1,14
17-Mar-20,11,134,1,3,1,15
18-Mar-20,37,171,0,3,0,15
19-Mar-20,27,198,1,4,5,20
20-Mar-20,58,256,0,4,3,23
21-Mar-20,78,334,0,4,0,23
22-Mar-20,67,401,3,7,0,23
23-Mar-20,102,503,2,9,12,35
24-Mar-20,64,567,1,10,5,40
25-Mar-20,90,657,1,11,3,43
26-Mar-20,65,722,5,16,7,50
27-Mar-20,164,886,3,19,26,76
28-Mar-20,143,1029,5,24,9,85
29-Mar-20,110,1139,3,27,5,90
30-Mar-20,187,1326,13,40,49,139
31-Mar-20,309,1635,6,46,15,154
01-Apr-20,424,2059,9,55,16,170
02-Apr-20,486,2545,14,69,22,192
03-Apr-20,560,3105,14,83,38,230
04-Apr-20,579,3684,13,96,56,286
05-Apr-20,609,4293,22,118,43,329
06-Apr-20,484,4777,16,134,65,394
07-Apr-20,572,5349,27,161,75,469
08-Apr-20,565,5914,20,181,96,565
09-Apr-20,813,6727,46,227,70,635
10-Apr-20,871,7598,22,249,151,786
11-Apr-20,854,8452,40,289,186,972
12-Apr-20,758,9210,42,331,114,1086
13-Apr-20,1243,10453,27,358,112,1198
14-Apr-20,1031,11484,37,395,167,1365
15-Apr-20,886,12370,27,422,144,1509
16-Apr-20,1061,13431,26,448,258,1767
17-Apr-20,922,14353,38,486,273,2040
18-Apr-20,1371,15724,35,521,426,2466
19-Apr-20,1580,17304,38,559,388,2854
20-Apr-20,1239,18543,33,592,419,3273
21-Apr-20,1537,20080,53,645,703,3976
22-Apr-20,1292,21372,36,681,394,4370
23-Apr-20,1667,23039,40,721,642,5012
24-Apr-20,1408,24447,59,780,484,5496
25-Apr-20,1835,26282,44,824,442,5938
26-Apr-20,1607,27889,56,880,585,6523
27-Apr-20,1568,29457,58,938,580,7103
28-Apr-20,1902,31359,69,1007,636,7739
29-Apr-20,1705,33064,71,1078,690,8429
30-Apr-20,1801,34865,75,1153,630,9059
01-May-20,2381,37246,77,1230,962,10021
02-May-20,2567,39813,92,1322,831,10852
03-May-20,2952,42765,140,1462,911,11763
