Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,0,0,0,0,0,0
04-Apr-20,0,0,0,0,0,0
05-Apr-20,0,0,0,0,0,0
06-Apr-20,1,1,0,0,0,0
07-Apr-20,0,1,0,0,0,0
08-Apr-20,0,1,0,0,0,0
09-Apr-20,0,1,0,0,0,0
10-Apr-20,1,2,0,0,0,0
11-Apr-20,0,2,0,0,0,0
12-Apr-20,0,2,0,0,0,0
13-Apr-20,0,2,0,0,0,0
14-Apr-20,0,2,0,0,0,0
15-Apr-20,0,2,0,0,1,1
16-Apr-20,0,2,0,0,0,1
17-Apr-20,0,2,0,0,0,1
18-Apr-20,0,2,0,0,0,1
19-Apr-20,0,2,0,0,0,1
20-Apr-20,0,2,0,0,0,1
21-Apr-20,0,2,0,0,0,1
22-Apr-20,0,2,0,0,0,1
23-Apr-20,0,2,0,0,1,2
24-Apr-20,0,2,0,0,0,2
25-Apr-20,0,2,0,0,0,2
26-Apr-20,0,2,0,0,0,2
27-Apr-20,0,2,0,0,0,2
28-Apr-20,0,2,0,0,0,2
29-Apr-20,0,2,0,0,0,2
30-Apr-20,1,3,0,0,0,2
01-May-20,0,3,0,0,0,2
02-May-20,2,5,0,0,0,2
03-May-20,12,17,0,0,0,2
04-May-20,13,30,0,0,0,2
05-May-20,13,43,0,0,0,2
06-May-20,22,65,0,0,0,2
07-May-20,24,89,0,0,0,2
08-May-20,30,119,0,0,0,2
09-May-20,17,136,0,0,0,2
10-May-20,16,152,0,0,0,2
11-May-20,0,152,0,0,0,2
12-May-20,2,154,0,0,0,2
13-May-20,1,155,0,0,0,2
14-May-20,1,156,0,0,27,29
15-May-20,0,156,0,0,13,42
16-May-20,11,167,0,0,22,64
17-May-20,-2,165,0,0,21,85
18-May-20,0,165,0,0,4,89
19-May-20,8,173,0,0,27,116
20-May-20,0,173,0,0,0,116
21-May-20,2,175,0,0,32,148
22-May-20,0,175,0,0,4,152
23-May-20,16,191,0,0,0,152
24-May-20,3,194,0,0,13,165
25-May-20,4,198,0,0,0,165
26-May-20,34,232,0,0,0,165
27-May-20,10,242,0,0,0,165
28-May-20,2,244,0,0,2,167
29-May-20,10,254,0,0,0,167
30-May-20,17,271,0,0,5,172
31-May-20,45,316,0,0,1,173
01-Jun-20,107,423,0,0,0,173
02-Jun-20,48,471,0,0,0,173
03-Jun-20,151,622,0,0,0,173
04-Jun-20,24,646,0,0,0,173
05-Jun-20,48,694,0,0,0,173
06-Jun-20,55,749,0,0,0,173
07-Jun-20,53,802,0,0,19,192
08-Jun-20,38,840,0,0,0,192
09-Jun-20,26,866,1,1,0,192
10-Jun-20,31,897,0,1,47,239
11-Jun-20,25,922,0,1,39,278
12-Jun-20,41,963,0,1,0,278
13-Jun-20,83,1046,0,1,37,315
14-Jun-20,33,1079,0,1,118,433
15-Jun-20,10,1089,0,1,0,433
16-Jun-20,1,1090,0,1,123,556
17-Jun-20,43,1133,0,1,0,556
18-Jun-20,21,1154,0,1,83,639
19-Jun-20,27,1181,0,1,18,657
20-Jun-20,8,1189,0,1,23,680
21-Jun-20,35,1224,0,1,79,759
22-Jun-20,16,1240,0,1,23,782
23-Jun-20,23,1263,0,1,25,807
24-Jun-20,0,1263,0,1,97,904
25-Jun-20,32,1295,0,1,122,1026
26-Jun-20,35,1330,0,1,36,1062
27-Jun-20,9,1339,0,1,16,1078
28-Jun-20,12,1351,0,1,8,1086
29-Jun-20,34,1385,0,1,6,1092
30-Jun-20,8,1393,0,1,0,1092
01-Jul-20,8,1401,0,1,1,1093
02-Jul-20,39,1440,0,1,53,1146
03-Jul-20,93,1533,0,1,53,1199
04-Jul-20,25,1558,0,1,3,1202
05-Jul-20,23,1581,0,1,4,1206
06-Jul-20,111,1692,0,1,13,1219
07-Jul-20,24,1716,0,1,29,1248
08-Jul-20,57,1773,0,1,76,1324
09-Jul-20,16,1789,0,1,14,1338
