Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,1,1,0,0,0,0
23-Mar-20,0,1,0,0,0,0
24-Mar-20,0,1,0,0,0,0
25-Mar-20,0,1,0,0,0,0
26-Mar-20,0,1,0,0,0,0
27-Mar-20,0,1,0,0,0,0
28-Mar-20,0,1,0,0,0,0
29-Mar-20,0,1,0,0,0,0
30-Mar-20,0,1,0,0,0,0
31-Mar-20,22,23,0,0,0,0
01-Apr-20,6,29,0,0,0,0
02-Apr-20,1,30,0,0,0,0
03-Apr-20,6,36,0,0,0,0
04-Apr-20,1,37,0,0,0,0
05-Apr-20,1,38,0,0,0,0
06-Apr-20,0,38,0,0,0,0
07-Apr-20,0,38,0,0,0,0
08-Apr-20,4,42,0,0,0,0
09-Apr-20,16,58,0,0,0,0
10-Apr-20,0,58,0,0,0,0
11-Apr-20,0,58,0,0,0,0
12-Apr-20,0,58,0,0,0,0
13-Apr-20,0,58,0,0,0,0
14-Apr-20,0,58,0,0,0,0
15-Apr-20,1,59,0,0,0,0
16-Apr-20,1,60,0,0,0,0
17-Apr-20,0,60,0,0,0,0
18-Apr-20,2,62,0,0,0,0
19-Apr-20,2,64,0,0,0,0
