Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,1,1,0,0,0,0
17-Mar-20,0,1,0,0,0,0
18-Mar-20,1,2,0,0,0,0
19-Mar-20,1,3,0,0,0,0
20-Mar-20,0,3,0,0,0,0
21-Mar-20,0,3,0,0,0,0
22-Mar-20,0,3,0,0,0,0
23-Mar-20,1,4,0,0,0,0
24-Mar-20,0,4,0,0,0,0
25-Mar-20,1,5,0,0,0,0
26-Mar-20,0,5,0,0,0,0
27-Mar-20,0,5,0,0,0,0
28-Mar-20,1,6,0,0,1,1
29-Mar-20,1,7,0,0,0,1
30-Mar-20,0,7,0,0,1,2
31-Mar-20,0,7,0,0,0,2
01-Apr-20,0,7,0,0,0,2
02-Apr-20,3,10,0,0,0,2
03-Apr-20,6,16,0,0,0,2
04-Apr-20,6,22,0,0,0,2
05-Apr-20,4,26,0,0,2,4
06-Apr-20,5,31,0,0,0,4
07-Apr-20,0,31,0,0,0,4
08-Apr-20,4,35,0,0,1,5
09-Apr-20,0,35,0,0,0,5
10-Apr-20,0,35,0,0,0,5
11-Apr-20,0,35,0,0,0,5
