Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,1,1,0,0,0,0
16-Mar-20,0,1,0,0,0,0
17-Mar-20,0,1,0,0,0,0
18-Mar-20,0,1,0,0,0,0
19-Mar-20,2,3,0,0,1,1
20-Mar-20,0,3,0,0,0,1
21-Mar-20,0,3,0,0,0,1
22-Mar-20,0,3,0,0,0,1
23-Mar-20,1,4,0,0,0,1
24-Mar-20,0,4,0,0,0,1
25-Mar-20,0,4,0,0,0,1
26-Mar-20,0,4,0,0,0,1
27-Mar-20,0,4,0,0,0,1
28-Mar-20,1,5,0,0,0,1
29-Mar-20,1,6,0,0,0,1
30-Mar-20,0,6,0,0,0,1
31-Mar-20,0,6,0,0,0,1
01-Apr-20,0,6,0,0,0,1
02-Apr-20,0,6,0,0,0,1
03-Apr-20,6,12,0,0,0,1
04-Apr-20,0,12,0,0,0,1
05-Apr-20,3,15,0,0,0,1
06-Apr-20,2,17,0,0,0,1
07-Apr-20,0,17,0,0,0,1
08-Apr-20,1,18,0,0,0,1
09-Apr-20,0,18,0,0,0,1
10-Apr-20,0,18,0,0,0,1
11-Apr-20,0,18,0,0,0,1
12-Apr-20,0,18,0,0,0,1
13-Apr-20,0,18,0,0,0,1
14-Apr-20,0,18,0,0,0,1
15-Apr-20,0,18,0,0,0,1
16-Apr-20,0,18,0,0,0,1
17-Apr-20,2,20,0,0,0,1
18-Apr-20,0,20,0,0,0,1
19-Apr-20,2,22,0,0,0,1
20-Apr-20,0,22,0,0,0,1
21-Apr-20,2,24,0,0,0,1
22-Apr-20,0,24,0,0,0,1
23-Apr-20,1,25,0,0,0,1
24-Apr-20,0,25,0,0,0,1
25-Apr-20,0,25,0,0,0,1
26-Apr-20,0,25,0,0,10,11
27-Apr-20,3,28,0,0,0,11
28-Apr-20,3,31,0,0,0,11
29-Apr-20,0,31,0,0,2,13
30-Apr-20,0,31,0,0,1,14
01-May-20,0,31,0,0,3,17
02-May-20,2,33,0,0,2,19
03-May-20,1,34,0,0,0,19
04-May-20,0,34,0,0,0,19
05-May-20,0,34,1,1,1,20
06-May-20,0,34,0,1,0,20
07-May-20,0,34,0,1,0,20
08-May-20,0,34,0,1,6,26
09-May-20,0,34,0,1,0,26
10-May-20,1,35,0,1,0,26
11-May-20,0,35,0,1,0,26
12-May-20,0,35,0,1,0,26
13-May-20,1,36,0,1,0,26
14-May-20,3,39,0,1,2,28
15-May-20,0,39,0,1,0,28
